"ID of parentid","ID of id2","ID of value"
3762,7357,7363
3762,7361,7365
3780,7357,7359
3780,7361,7362
3818,7355,7356
7620,7621,7622
7620,7623,7624
8029,7621,8030
8029,7623,8031
8157,7621,8158
8157,7623,8159
9104,7621,9105
9104,7623,9106
9109,7621,9110
9109,7623,9111
9184,7621,9185
9184,7623,9186
9235,7621,9236
9235,7623,9237
9240,7621,9241
9240,7623,9242
9378,7621,9379
9378,7623,9380
9754,7621,9755
9754,7623,9756
9843,7621,9844
9843,7623,9845
9977,7621,9978
9977,7623,9979
10818,10820,10821
10824,10829,10830
10902,7621,10903
10902,7623,10904
10909,7621,10910
10909,7623,10911
11033,7621,11034
11033,7623,11035
11072,10820,11073
11074,10829,11075
11209,7621,11210
11209,7623,11211
11215,7621,11216
11215,7623,11217
11406,7621,11407
11406,7623,11408
11412,7621,11413
11412,7623,11414
11711,7621,11712
11711,7623,11713
11737,10820,11738
11740,10829,11741
11794,7621,11795
11794,7623,11796
11859,10820,11860
11861,10829,11862
11878,7621,11879
11878,7623,11880
11901,7621,11902
11901,7623,11903
12408,7621,12409
12408,7623,12410
12481,7621,12482
12481,7623,12483
12489,7621,12490
12489,7623,12491
12878,7621,12879
12878,7623,12880
12924,7621,12925
12924,7623,12926
12929,7621,12930
12929,7623,12931
12953,12955,12956
12953,12958,12959
12984,12955,12985
12984,12958,12986
13000,12955,13001
13000,12958,13002
13092,7621,13093
13092,7623,13094
13111,7621,13112
13111,7623,13113
13134,7621,13135
13134,7623,13136
13149,7621,13150
13149,7623,13151
13153,7621,13154
13153,7623,13155
13164,7621,13165
13164,7623,13166
13172,12955,13173
13172,12958,13174
13177,12955,13178
13177,12958,13179
13215,12955,13216
13215,12958,13217
13219,12955,13220
13219,12958,13221
13286,7621,13287
13286,7623,13288
13294,7621,13295
13294,7623,13296
13298,7621,13299
13298,7623,13300
13302,7621,13303
13302,7623,13304
13307,7621,13308
13307,7623,13309
13326,7621,13327
13326,7623,13328
13335,7621,13336
13335,7623,13337
13339,7621,13340
13339,7623,13341
13343,7621,13344
13343,7623,13345
13463,10820,13464
13465,10829,13466
13506,10820,13507
13508,10829,13509
13549,10820,13550
13551,10829,13552
13821,12955,13822
13821,12958,13824
13877,12955,13878
13877,12958,13879
13905,12955,13906
13905,12958,13907
14083,12955,14084
14083,12958,14085
14094,12955,14095
14094,12958,14096
14150,12955,14151
14150,12958,14152
14435,12955,14436
14435,12958,14437
14465,12955,14466
14465,12958,14467
14539,12955,14540
14539,12958,14541
14573,12955,14574
14573,12958,14575
14594,12955,14595
14594,12958,14596
14614,12955,14615
14614,12958,14616
14634,12955,14635
14634,12958,14636
14654,12955,14655
14654,12958,14656
14674,12955,14675
14674,12958,14676
14694,12955,14695
14694,12958,14696
14714,12955,14715
14714,12958,14716
14734,12955,14735
14734,12958,14736
14752,12955,14753
14752,12958,14754
16070,10820,16071
16072,10829,16073
16623,7621,16624
16623,7623,16625
16814,12955,16815
