"ID of id","nodeName","ID of elementtypeid","dimension","ID of componenttypeid"
132,"int[]",87,1,87
255,"boolean[]",88,1,88
770,"String[]",157,1,157
1090,"Object[]",79,1,79
1095,"T[]",1094,1,1094
1105,"T[]",1104,1,1104
1159,"T[]",1158,1,1158
1201,"E[]",1196,1,1196
1440,"T[]",1439,1,1439
1703,"T[]",1702,1,1702
7423,"char[]",7422,1,7422
7475,"byte[]",788,1,788
7566,"File[]",7533,1,7533
7945,"Status[]",7863,1,7863
8317,"ClassDataSlot[]",8287,1,8287
8369,"ObjectStreamField[]",8365,1,8365
9469,"Class[]",3279,1,3279
9472,"Class<>[]",3300,1,3300
9476,"Class<?>[]",3285,1,3285
9496,"AnnotatedType[]",9495,1,9495
9512,"Annotation[]",9502,1,9502
9519,"A[]",9517,1,9517
9533,"A[]",9531,1,9531
9558,"T[]",9466,1,9466
9615,"Constructor[]",9585,1,9585
9618,"Constructor<>[]",9583,1,9583
9623,"Constructor<?>[]",9622,1,9622
9628,"Method[]",9597,1,9597
9635,"RecordComponent[]",9634,1,9634
9640,"Field[]",8471,1,8471
9700,"Type[]",3283,1,3283
9715,"TypeVariable[]",9714,1,9714
9721,"TypeVariable<>[]",9718,1,9718
9726,"TypeVariable<Class>[]",9725,1,9725
9837,"Package[]",9706,1,9706
10066,"Entry[]",10057,1,10057
10069,"Entry<>[]",10056,1,10056
10082,"Entry<? extends K,? extends V>[]",10081,1,10081
10605,"Entry[]",10558,1,10558
10608,"Entry<K,V>[]",10562,1,10562
10612,"Entry[]",10027,1,10027
10615,"Entry<>[]",10260,1,10260
10628,"Entry<?>[]",10026,1,10026
10826,"ElementType[]",10825,1,10825
10967,"ConstantDesc[]",7903,1,7903
11762,"A[]",11760,1,11760
11776,"A[]",11774,1,11774
11975,"StackTraceElement[]",11956,1,11956
12041,"ExtendedOption[]",12010,1,12010
12077,"Option[]",12046,1,12046
12300,"CharSequence[]",8541,1,8541
12816,"Level[]",12782,1,12782
13051,"State[]",13020,1,13020
13095,"Thread[]",2797,1,2797
13310,"ThreadGroup[]",10724,1,10724
13371,"Throwable[]",2889,1,2889
13541,"RetentionPolicy[]",10819,1,10819
13634,"Kind[]",13597,1,13597
13668,"ClassDesc[]",9483,1,9483
13695,"OfField[]",3288,1,3288
13700,"OfField<F>[]",13699,1,13699
13703,"F[]",13698,1,13698
13738,"OfField<>[]",3301,1,3301
13866,"Kind[]",13827,1,13827
