"ID of callerid","ID of callee"
77,80
121,80
163,167
176,180
189,193
204,208
230,80
281,286
287,167
295,286
299,167
305,286
309,193
317,286
321,327
353,80
466,80
504,510
519,510
533,510
547,551
562,551
595,80
651,286
665,286
683,286
699,286
717,286
735,286
753,286
768,80
830,834
843,847
856,834
868,834
880,834
892,834
914,80
963,967
1786,1681
1792,1681
1798,1681
1804,1742
1812,286
1820,1681
1830,1744
1838,286
1850,1744
1858,286
1866,834
1874,1744
1898,80
1964,1968
1977,1981
1990,1994
2042,80
2130,80
2190,286
2212,286
2234,286
2252,286
2270,286
2288,286
2306,286
2321,80
2402,80
2452,80
2531,967
2538,80
2542,2523
2611,1681
2714,80
2777,80
2803,2815
2807,2813
2821,80
2842,286
2850,2855
2858,286
2866,2870
2868,2873
2885,2890
2897,2901
2902,2855
2908,2870
2919,80
2979,847
3024,80
3056,3062
3065,3062
3073,3062
3086,80
3196,80
3212,3192
3247,3192
3275,3302
3295,3302
3330,3192
3405,80
3420,3426
3435,3426
3449,3453
3486,3453
3498,3504
3500,3504
3511,3515
3552,3558
3570,80
3574,3536
3608,80
3628,80
3687,80
3697,80
3706,286
3727,80
3739,80
3752,286
3771,286
3789,286
3808,286
3827,286
3842,80
3957,80
4021,847
4045,847
4063,286
4086,80
4183,80
4200,4177
4210,286
4227,4177
4240,286
4257,80
4344,80
4360,847
4364,4368
4398,4400
4434,4368
4467,4332
4510,4337
4538,80
4554,80
4566,80
4576,4580
4585,4580
4593,286
4597,4603
4613,80
4726,80
4863,80
4884,80
4918,80
4922,4905
4939,80
5048,80
5075,80
5091,80
5111,80
5125,80
5146,5150
5162,5166
5169,5173
5174,5173
5178,5182
5188,80
5197,286
5210,80
5231,80
5248,5252
5271,5275
5273,5280
5281,5285
5283,5280
5288,5285
5290,5294
5295,5299
5297,5280
5326,80
5378,286
5394,286
5410,286
5418,3062
5426,286
5440,5444
5449,286
5464,80
5480,80
5486,3453
5490,80
5503,5461
5515,5466
5519,3453
5523,80
5534,80
5586,80
5625,80
5640,286
5664,80
5801,80
5835,80
5881,80
5913,80
5930,80
5959,5961
6002,2855
6006,286
6010,6016
6014,2873
6029,6033
6038,847
6064,5956
6074,5956
6084,5956
6096,2901
6100,2901
6104,2870
6108,286
6155,80
6166,6143
6179,80
6236,80
6363,6367
6425,80
6449,6473
6484,6368
6496,6503
6771,6775
6786,6368
6806,80
6861,80
6884,80
6936,847
6951,80
7005,847
7020,80
7156,80
7182,80
7186,7163
7230,80
7264,80
7268,7251
