"ID of id","ID of callable_id"
85,81
93,89
97,89
101,89
105,89
107,89
109,89
127,123
131,123
140,123
144,123
146,123
148,123
150,123
152,123
156,123
159,123
163,123
165,123
170,123
172,123
176,123
178,123
183,123
185,123
189,123
191,123
194,123
198,123
200,123
204,123
206,123
209,123
211,123
236,232
240,232
242,232
246,232
248,232
250,232
254,232
259,232
263,232
265,232
267,232
277,232
279,232
281,232
283,232
287,232
289,232
293,232
295,232
297,232
299,232
301,232
303,232
305,232
307,232
309,232
311,232
313,232
315,232
317,232
319,232
321,232
323,232
325,232
328,232
359,355
363,355
365,355
369,355
373,355
376,355
380,355
385,355
387,355
391,355
395,355
398,355
402,355
416,355
418,355
420,355
422,355
424,355
426,355
428,355
430,355
432,355
434,355
436,355
438,355
440,355
442,355
444,355
446,355
448,355
450,355
452,355
454,355
472,468
476,468
479,468
483,468
487,468
490,468
494,468
498,468
500,468
504,468
506,468
508,468
513,468
515,468
519,468
521,468
523,468
527,468
529,468
533,468
535,468
537,468
541,468
543,468
547,468
549,468
552,468
556,468
558,468
562,468
564,468
566,468
601,597
605,597
609,597
611,597
615,597
619,597
621,597
625,597
641,597
645,597
647,597
651,597
653,597
655,597
657,597
659,597
665,597
667,597
669,597
671,597
673,597
677,597
679,597
683,597
685,597
687,597
689,597
691,597
695,597
699,597
701,597
703,597
705,597
707,597
711,597
713,597
717,597
719,597
721,597
723,597
725,597
729,597
731,597
735,597
737,597
739,597
741,597
743,597
747,597
749,597
753,597
755,597
757,597
759,597
777,773
781,773
783,773
787,773
790,773
794,773
798,773
800,773
804,773
812,773
814,773
818,773
820,773
830,773
832,773
835,773
837,773
839,773
841,773
843,773
845,773
848,773
850,773
852,773
854,773
856,773
858,773
860,773
862,773
864,773
866,773
868,773
870,773
872,773
874,773
876,773
878,773
880,773
882,773
884,773
886,773
888,773
890,773
892,773
894,773
896,773
898,773
900,773
902,773
920,916
924,916
959,916
963,916
965,916
1762,916
1766,916
1784,916
1786,916
1788,916
1790,916
1792,916
1794,916
1796,916
1798,916
1800,916
1802,916
1804,916
1808,916
1812,916
1814,916
1816,916
1818,916
1820,916
1822,916
1824,916
1826,916
1830,916
1832,916
1834,916
1838,916
1840,916
1842,916
1844,916
1846,916
1850,916
1852,916
1854,916
1858,916
1860,916
1862,916
1864,916
1866,916
1868,916
1870,916
1872,916
1874,916
1876,916
1878,916
1904,1900
1908,1900
1913,1900
