"ID of id","nodeName","ID of parentid","ID of sourceid"
69,"ArgumentsMethod",68,69
79,"Object",947,79
113,"Arrays",926,113
116,"ArrayHashCodeAndToStringProcessor",68,116
137,"Cloneable",947,137
138,"Serializable",7407,138
157,"String",947,157
225,"ArraysToString",68,225
284,"PrintStream",7407,284
290,"System",947,290
348,"AssignmentNull",68,348
374,"Integer",947,374
396,"Boolean",947,396
458,"BigDecimal",19025,458
461,"BigDecimalDoubleConstructorProcessor",68,461
590,"BooleanExpression",68,590
763,"ByteCompareInt",68,763
906,"ArrayList",926,906
909,"CollectionEmptyCheck",68,909
925,"ArrayList<Integer>",926,906
934,"AbstractList<Integer>",926,935
935,"AbstractList",926,935
938,"AbstractCollection<Integer>",926,939
939,"AbstractCollection",926,939
942,"Collection<Integer>",926,943
943,"Collection",926,943
946,"Iterable<Integer>",947,948
948,"Iterable",947,948
953,"List<Integer>",926,954
954,"List",926,954
957,"RandomAccess",926,957
969,"Spliterator<>",926,970
970,"Spliterator",926,970
975,"Spliterator<T>",926,970
978,"Spliterator<Integer>",926,970
981,"Consumer<? super T>",982,983
983,"Consumer",982,983
987,"FunctionalInterface",947,987
993,"Consumer<? super Integer>",982,983
997,"Iterator<>",926,998
998,"Iterator",926,998
1002,"Iterator<T>",926,998
1004,"Iterator<Integer>",926,998
1005,"Stream<>",1006,1007
1007,"Stream",1006,1007
1011,"BaseStream<>",1006,1012
1012,"BaseStream",1006,1012
1015,"AutoCloseable",947,1015
1018,"Stream<E>",1006,1007
1019,"BaseStream<E,Stream<E>>",1006,1012
1021,"Stream<Integer>",1006,1007
1022,"BaseStream<Integer,Stream<Integer>>",1006,1012
1026,"Spliterator<E>",926,970
1038,"Collection<?>",926,943
1039,"Iterable<?>",947,948
1046,"Predicate<? super E>",982,1047
1047,"Predicate",982,1047
1053,"Predicate<? super Integer>",982,1047
1063,"Collection<? extends E>",926,943
1064,"Iterable<? extends E>",947,948
1069,"Collection<? extends Integer>",926,943
1070,"Iterable<? extends Integer>",947,948
1085,"IntFunction<>",982,1086
1086,"IntFunction",982,1086
1099,"IntFunction<T[]>",982,1086
1114,"Iterator<E>",926,998
1139,"Collection<? extends E>",926,943
1140,"Iterable<? extends E>",947,948
1176,"Iterator<E>",926,998
1181,"Collection<>",926,943
1182,"Iterable<>",947,948
1183,"List<>",926,954
1186,"List<E>",926,954
1187,"Collection<E>",926,943
1188,"Iterable<E>",947,948
1193,"Collection<? extends E>",926,943
1194,"Iterable<? extends E>",947,948
1197,"List<E>",926,954
1198,"Collection<E>",926,943
1199,"Iterable<E>",947,948
1206,"List<E>",926,954
1207,"Collection<E>",926,943
1208,"Iterable<E>",947,948
1221,"List<E>",926,954
1222,"Collection<E>",926,943
1223,"Iterable<E>",947,948
1235,"List<E>",926,954
1236,"Collection<E>",926,943
1237,"Iterable<E>",947,948
1248,"List<E>",926,954
1249,"Collection<E>",926,943
1250,"Iterable<E>",947,948
1260,"List<E>",926,954
1261,"Collection<E>",926,943
1262,"Iterable<E>",947,948
1271,"List<E>",926,954
1272,"Collection<E>",926,943
1273,"Iterable<E>",947,948
1281,"List<E>",926,954
1282,"Collection<E>",926,943
1283,"Iterable<E>",947,948
1290,"List<E>",926,954
1291,"Collection<E>",926,943
1292,"Iterable<E>",947,948
1298,"List<E>",926,954
1299,"Collection<E>",926,943
1300,"Iterable<E>",947,948
1305,"List<E>",926,954
1306,"Collection<E>",926,943
1307,"Iterable<E>",947,948
1311,"List<E>",926,954
1312,"Collection<E>",926,943
1313,"Iterable<E>",947,948
1316,"Spliterator<E>",926,970
1324,"ListIterator<>",926,1325
1325,"ListIterator",926,1325
1329,"ListIterator<E>",926,1325
