"ID of id","nodeName","signature","ID of typeid","ID of parentid","ID of sourceid"
74,"ArgumentsMethod","ArgumentsMethod()",71,69,74
80,"Object","Object()",71,79,80
118,"ArrayHashCodeAndToStringProcessor","ArrayHashCodeAndToStringProcessor()",71,116,118
227,"ArraysToString","ArraysToString()",71,225,227
350,"AssignmentNull","AssignmentNull()",71,348,350
463,"BigDecimalDoubleConstructorProcessor","BigDecimalDoubleConstructorProcessor()",71,461,463
510,"BigDecimal","BigDecimal(double)",71,458,510
592,"BooleanExpression","BooleanExpression()",71,590,592
765,"ByteCompareInt","ByteCompareInt()",71,763,765
911,"CollectionEmptyCheck","CollectionEmptyCheck()",71,909,911
967,"ArrayList<Integer>","ArrayList<Integer>()",71,925,968
968,"ArrayList","ArrayList()",71,906,968
1178,"AbstractCollection","AbstractCollection()",71,939,1178
1180,"AbstractCollection<Integer>","AbstractCollection<Integer>()",71,938,1178
1538,"AbstractList","AbstractList()",71,935,1538
1539,"AbstractList<Integer>","AbstractList<Integer>()",71,934,1538
1751,"ArrayList","ArrayList(java.util.Collection)",71,906,1751
1753,"ArrayList<Integer>","ArrayList<Integer>(java.util.Collection)",71,925,1751
1755,"ArrayList","ArrayList(int)",71,906,1755
1757,"ArrayList<Integer>","ArrayList<Integer>(int)",71,925,1755
1895,"CollectionsEmptyConstantsProcessor","CollectionsEmptyConstantsProcessor()",71,1893,1895
2039,"CompareToReturnValueProcessor","CompareToReturnValueProcessor()",71,2037,2039
2127,"ComparizonModifier","ComparizonModifier()",71,2125,2127
2318,"ConstConds","ConstConds()",71,2316,2318
2399,"ConstVoidFuncs","ConstVoidFuncs()",71,2389,2399
2449,"ConvertOverloadMethod","ConvertOverloadMethod()",71,2447,2449
2535,"ConvertVariableAccessName","ConvertVariableAccessName()",71,2511,2535
2711,"ConvertVariableName","ConvertVariableName()",71,2701,2711
2774,"DangerousFuncs","DangerousFuncs()",71,2772,2774
2813,"","()",71,2808,2813
2815,"Thread","Thread(java.lang.Runnable)",71,2797,2815
2916,"DeadStoreProcessor","DeadStoreProcessor()",71,2914,2916
3021,"EmptyStringCheck","EmptyStringCheck()",71,3019,3021
3083,"EqBoolConsts","EqBoolConsts()",71,3081,3083
3192,"Animal","Animal()",71,3188,3192
3204,"Cat","Cat()",71,3203,3204
3239,"Dog","Dog()",71,3238,3239
3322,"Mouse","Mouse()",71,3321,3322
3402,"EqualsOnAtomicClassProcessor","EqualsOnAtomicClassProcessor()",71,3397,3402
3426,"AtomicInteger","AtomicInteger(int)",71,3394,3426
3558,"FMA","FMA(int)",71,3530,3558
3567,"FieldModifier","FieldModifier()",71,3528,3567
3625,"FloatConversion","FloatConversion()",71,3623,3625
3684,"InnerClassStatic","InnerClassStatic()",71,3682,3684
3694,"InnerClass","InnerClass()",71,3689,3694
3721,"NotInnerClass","NotInnerClass()",71,3720,3721
3736,"IsJunit4TestAnnotation","IsJunit4TestAnnotation()",71,3734,3736
3839,"IsNullCondition","IsNullCondition()",71,3837,3839
3954,"LoopHeadElement","LoopHeadElement()",71,3952,3954
