"ID of parent","ID of child"
1,0
1,66
1,2393
2,1
3,2
4,3
5,4
5,39339
6,5
7,6
7,931
64,63
64,111
64,221
64,346
64,456
64,588
64,761
64,904
64,1880
64,2035
64,2123
64,2314
64,2387
64,2445
64,2506
64,2699
64,2770
64,2912
64,3017
64,3079
64,3186
64,3392
64,3526
64,3621
64,3680
64,3729
64,3835
64,3946
64,4079
64,4174
64,4248
64,4329
64,4528
64,4606
64,4719
64,4856
64,4898
64,4929
64,5024
64,5118
64,5221
64,5319
64,5457
64,5527
64,5574
64,5615
64,5648
64,5791
64,5824
64,5871
64,5904
64,5921
64,5950
64,6132
64,6168
64,6225
64,6340
64,6796
64,6877
64,6944
64,7013
64,7132
64,7244
65,64
66,65
928,927
928,936
928,940
928,944
928,955
928,971
928,985
928,999
928,1009
928,1326
928,1377
928,1926
928,1943
928,7887
928,9796
928,9800
928,9886
928,10042
928,10058
928,10559
928,12164
928,12168
928,19965
928,19969
928,21591
928,26859
928,27957
928,27962
928,27966
928,28066
928,28088
928,28092
928,28660
928,28931
928,29450
928,29471
928,29554
928,29596
928,29636
928,29677
928,29703
928,29856
928,29940
928,30264
928,30432
928,30468
928,30504
928,30540
928,30544
928,30568
928,30585
928,30617
928,30959
928,31031
928,31034
928,31080
928,31334
928,31338
928,31402
928,31430
928,33318
929,928
929,950
929,7409
929,19027
929,19505
929,20172
929,22229
929,22766
929,22930
930,929
930,7673
930,34172
930,39378
931,930
950,949
950,3280
950,3290
950,6348
950,7538
950,7679
950,7868
950,7895
950,7901
950,8879
950,9040
950,9053
950,9057
950,9116
950,9132
950,9587
950,9783
950,9789
950,10012
950,10023
950,10028
950,10032
950,10619
950,10760
950,10806
950,10811
950,10813
950,10848
950,11037
950,11053
950,11069
950,11077
950,11083
950,11095
950,11106
950,11111
950,11287
950,11298
950,11303
950,11312
950,11488
950,11596
950,11612
950,11664
950,11675
950,11680
950,11685
950,11694
950,11708
950,11735
950,11743
950,11811
950,11817
950,11824
950,11835
950,11839
950,11856
950,11865
950,11876
950,11952
950,11973
950,12011
950,12047
950,12084
950,12096
950,12172
950,12512
950,12669
950,12783
950,12827
950,12866
950,12947
950,12950
950,12982
950,12998
950,13021
950,13061
950,13280
950,13359
950,13368
950,13407
950,13413
950,13424
950,13434
950,13440
950,13453
950,13780
950,17714
985,984
985,1048
985,1087
985,1388
985,1392
985,6408
985,10247
985,10329
985,27751
985,28506
985,28520
985,28534
985,32284
985,32294
985,32304
985,33001
985,33007
985,33015
985,33022
985,33032
985,33037
985,33043
985,33049
985,33090
985,33096
985,33108
985,33118
985,33122
985,33127
985,33132
985,33142
985,33148
985,33156
985,33163
985,33173
985,33178
985,33184
985,33190
985,33201
985,33209
985,33217
1009,1008
1009,1013
1009,33401
1009,33439
1009,33500
1009,33508
1009,33510
1009,33628
1009,33636
1009,33638
1009,33760
1009,33768
1009,33770
1009,33895
2392,2391
2392,2514
2392,2703
2392,2809
2392,3190
2392,3205
2392,3240
2392,3323
2392,3399
2392,3531
2392,3592
2392,3691
2392,3722
2392,4178
2392,4193
2392,4220
2392,4252
2392,4333
2392,4879
2392,4902
2392,4933
2392,5030
2392,5057
2392,5084
2392,5095
2392,5183
2392,5205
2392,5496
2392,5578
2392,5619
2392,5652
2392,5795
2392,5828
2392,5875
2392,5908
2392,5925
2392,6144
2392,6159
2392,6172
2392,6229
2392,6352
2392,6451
2392,6773
2392,6856
2392,7160
2392,7190
2392,7248
2392,7313
2392,7315
2392,7317
2392,7319
2392,7321
2392,7323
2392,7325
2392,7327
2392,7329
2392,7331
2392,7333
2392,7335
2392,7337
2392,7339
2392,7341
2392,7343
2392,7345
2392,7347
2392,7349
2392,7351
2392,7353
2392,7366
2392,7368
2392,7370
2392,7372
2392,7374
2392,7376
2392,7378
2392,7380
2392,7382
2392,7384
2392,7386
2392,7388
2392,7390
2392,7392
2392,7394
2392,7396
2392,7398
2392,7400
2392,7402
2392,7404
2393,2392
2514,2513
3290,3289
3290,13693
3290,14800
3290,14806
3290,14810
3290,14841
3290,14896
3290,14981
3290,15078
3290,15153
3290,15184
3290,15284
3290,15361
3290,15428
3290,15440
3290,15544
3290,15614
3290,15795
3290,15872
3290,15925
3290,16066
3290,16068
3290,16198
3290,16245
3290,16253
3290,16256
3290,16302
3290,16499
3290,16530
3290,16545
3290,16586
3290,16621
3290,17064
3290,17072
3290,17217
3290,17308
3290,17312
3290,17355
3290,17367
3290,17439
3290,17486
3290,17521
3290,17702
7409,7408
7409,7415
7409,7445
7409,7487
7409,7534
7409,7655
7409,7701
7409,7707
7409,7712
7409,7719
7409,7740
7409,7744
7409,7756
7409,7799
7409,7817
7409,7825
7409,7831
7409,7855
7409,7864
7409,7952
7409,7971
7409,8017
7409,8124
7409,8129
7409,8150
7409,8155
7409,8288
7409,8295
7409,8421
7409,8455
7409,8465
7409,8507
7409,8515
7409,8534
7409,8650
7409,8771
7409,8811
7409,8813
7409,8821
7409,8826
7409,8830
7409,8835
7671,7670
7671,37690
7672,7671
7672,34284
7672,34294
7672,34361
7672,34562
7672,34613
7672,34628
7672,35704
7672,37658
7672,37752
7672,38042
7673,7672
7679,7678
7679,7683
7679,10037
7679,10684
7679,17285
7679,18241
7679,18244
7901,7900
7901,13554
7901,13585
7901,13592
7901,13598
7901,13651
7901,13660
7901,13689
9587,9586
9587,9719
9587,18376
9587,18457
9587,18489
9587,18587
9587,18671
9587,18835
9587,18838
9587,18848
9587,18856
9587,18938
9587,18989
9587,18994
9587,19011
9587,19021
9796,9795
9796,9804
9796,21219
9796,31619
9796,31626
9796,31637
9796,31724
9796,31851
9796,32605
9796,32616
9796,32620
9796,32707
9796,32762
9796,32766
9796,32840
9796,32847
13453,13452
13453,13460
13453,13469
13453,13503
13453,13511
13453,13546
13780,13779
13780,13819
13780,13828
13780,13875
13780,13903
13780,14079
13780,14081
13780,14148
13780,14432
13780,14462
13780,14537
13780,14569
13780,14571
13780,14592
13780,14612
13780,14632
13780,14652
13780,14672
13780,14692
13780,14712
13780,14732
17714,17713
17714,17770
17714,17876
17714,17912
17714,17927
17714,17965
17714,18001
17714,18016
17714,18029
17714,18067
17714,18085
17714,18098
17714,18172
17714,18195
17714,18218
17714,18227
19027,19026
