"ID of id","ID of packageid"
63,68
111,68
221,68
346,68
456,68
588,68
761,68
904,68
927,926
936,926
940,926
944,926
949,947
955,926
971,926
984,982
999,926
1008,1006
1013,1006
1048,982
1087,982
1326,926
1377,926
1388,982
1392,982
1880,68
1926,926
1943,926
2035,68
2123,68
2314,68
2387,68
2391,68
2445,68
2506,2508
2513,2508
2699,68
2703,68
2770,68
2809,68
2912,68
3017,68
3079,68
3186,68
3190,68
3205,68
3240,68
3280,947
3289,3287
3323,68
3392,68
3399,68
3526,68
3531,68
3592,68
3621,68
3680,68
3691,68
3722,68
3729,68
3835,68
3946,68
4079,68
4174,68
4178,68
4193,68
4220,68
4248,68
4252,68
4329,68
4333,68
4528,68
4606,68
4719,68
4856,68
4879,68
4898,68
4902,68
4929,68
4933,68
5024,68
5030,68
5057,68
5084,68
5095,68
5118,68
5183,68
5205,68
5221,68
5319,68
5457,68
5496,68
5527,68
5574,68
5578,68
5615,68
5619,68
5648,68
5652,68
5791,68
5795,68
5824,68
5828,68
5871,68
5875,68
5904,68
5908,68
5921,68
5925,68
5950,68
6132,68
6144,68
6159,68
6168,68
6172,68
6225,68
6229,68
6340,68
6348,947
6352,68
6408,982
6451,68
6773,68
6796,68
6856,68
6877,68
6944,68
7013,68
7132,68
7160,68
7190,68
7244,68
7248,68
7313,68
7315,68
7317,68
7319,68
7321,68
7323,68
7325,68
7327,68
7329,68
7331,68
7333,68
7335,68
7337,68
7339,68
7341,68
7343,68
7345,68
7347,68
7349,68
7351,68
7353,68
7366,68
7368,68
7370,68
7372,68
7374,68
7376,68
7378,68
7380,68
7382,68
7384,68
7386,68
7388,68
7390,68
7392,68
7394,68
7396,68
7398,68
7400,68
7402,68
7404,68
7408,7407
7415,7407
7445,7407
7487,7407
7534,7407
7538,947
7655,7407
7670,7668
7678,7676
7683,7676
7701,7407
7707,7407
7712,7407
7719,7407
7740,7407
7744,7407
7756,7407
7799,7407
7817,7407
7825,7407
7831,7407
7855,7407
7864,7407
7868,947
7887,926
7895,947
7900,7898
7952,7407
7971,7407
8017,7407
8124,7407
8129,7407
8150,7407
8155,7407
8288,7407
8295,7407
8421,7407
8455,7407
8465,7407
8507,7407
8515,7407
8534,7407
8650,7407
8771,7407
8811,7407
8813,7407
8821,7407
8826,7407
8830,7407
8835,7407
8879,947
9040,947
9053,947
9057,947
9116,947
9132,947
9586,9584
9719,9584
9783,947
9789,947
9795,9793
9800,926
9804,9793
9886,926
10012,947
10023,947
10028,947
10032,947
10037,7676
10042,926
10058,926
10247,982
10329,982
10559,926
10619,947
10684,7676
10760,947
10806,947
10811,947
10813,947
10848,947
11037,947
11053,947
11069,947
11077,947
11083,947
