"ID of child","ID of parent"
2808,2772
3286,3292
3288,3292
3301,3292
3689,3682
6375,6347
6450,6350
6772,6350
7358,3761
7685,14440
7854,7857
7863,7857
7893,7867
7894,7867
7907,7867
7970,7973
8149,8152
8287,8014
9781,10034
10025,10034
10026,10034
10027,10034
10030,10034
10031,10034
10056,1887
10057,1887
10063,1887
10081,1887
10260,10034
10351,1887
10356,1887
10427,1887
10512,1887
10557,10041
10558,10041
10562,10041
10567,10041
10623,10034
10624,10034
10635,10034
10636,10034
10655,10034
10656,10034
10664,10034
10665,10034
10673,10034
10710,10034
10766,10034
10777,10034
10778,10034
10785,10034
10789,10034
10856,16588
11019,7867
11025,7867
11595,11506
11954,11970
12010,11970
12019,7867
12046,11970
12055,7867
12782,12810
12791,7867
12810,290
12946,12949
12949,2797
12954,12952
12969,2797
12981,12949
13020,2797
13029,7867
13477,7867
13519,7867
13556,3292
13597,10972
13606,7867
13691,3292
13692,3292
13699,3292
13706,3292
13827,13855
13836,7867
13909,14109
13919,14109
13929,14109
13939,14109
13949,14109
13959,14109
13969,14109
14042,14109
14052,14109
14078,13782
14799,14891
14803,14802
14804,14808
14805,14809
14835,14809
14840,14808
14847,14848
14864,15086
14891,14802
14911,14848
15142,15086
15230,15086
15319,14127
15345,14127
15369,7867
15439,15086
15448,7867
15618,16225
15871,14937
16065,8298
16197,16225
16206,7867
16244,16225
16264,7867
16301,16225
16529,10856
16544,10856
16553,7867
17063,11964
17074,3292
17212,11964
17375,7867
17405,14127
17447,7867
17485,14127
17769,11580
17778,11580
17786,11580
17796,17807
17807,11580
17815,17826
17826,11580
17831,17846
17846,11580
17850,11580
17884,7867
17935,7867
17973,7867
18037,7867
19465,7867
19526,11897
19614,20153
19716,19744
19725,7867
21344,21347
21736,7867
21768,21771
21860,7867
21912,21919
21916,21919
21928,21919
21995,21919
21997,21919
22176,21771
22485,9574
22514,22517
22618,1887
22763,22768
22829,22852
22838,22852
22973,7867
23925,7867
25124,7867
25166,25275
25274,25275
25297,25275
25542,7867
25604,7867
25641,7867
25684,7867
25729,7867
25817,7867
26053,26081
26062,7867
27204,970
27211,970
27218,970
29330,1887
29553,5223
29562,7867
29595,5223
29604,7867
29635,5223
29644,7867
29676,5223
29883,1887
29889,1887
29893,1887
29904,1887
29919,1887
29929,1887
30008,1887
30041,1887
30539,30543
30567,30543
30584,30543
30962,38044
31033,12829
31336,970
31337,970
31389,970
31404,970
31432,970
31506,1887
31636,9794
31723,9794
31728,9794
31850,9794
31855,1887
31863,9794
31943,1887
32354,9794
32355,1887
32361,9794
32373,9794
32374,9794
32376,9794
32377,9794
32381,9794
32382,9794
32389,9794
32390,9794
32489,9794
32490,1887
32500,9794
32501,1887
32511,9794
32512,1887
32574,1887
32706,21218
32715,7867
32774,7867
33400,33428
33409,7867
33499,27166
33507,27166
33627,8893
33635,8893
33759,27173
33767,27173
33894,1007
33911,1007
33998,1007
34348,37598
34470,34473
34473,20176
34543,20234
34570,7867
34625,20234
35699,35707
35701,35707
35706,35707
35708,35707
35709,35707
35712,35707
35713,35707
35720,35707
35723,35707
35738,35707
35740,35707
35741,35707
35748,35707
35760,35707
35762,35707
35763,35707
35766,35707
35767,35707
35774,35707
35777,35707
35780,35707
35796,35707
35798,35707
35799,35707
35806,35707
35809,35707
35821,35707
37655,11621
37759,9565
37768,7867
38136,12099
38146,7867
38175,12099
38184,7867
38269,38272
38391,35707
38398,35707
38403,35707
38408,35707
38414,35707
38421,35707
38425,35707
38457,35707
38474,35707
38484,35707
38491,35707
38492,35707
38495,35707
38501,35707
38527,35707
38542,35707
38554,35707
38564,35707
38572,35707
38584,35707
38595,35707
38606,35707
38618,35707
38633,35707
38645,35707
38670,35707
38675,35707
38685,35707
38692,35707
38697,35707
38700,35707
38716,35707
38718,35707
38736,35707
38738,35707
38743,35707
38746,35707
38763,35707
38765,35707
38770,35707
38773,35707
38787,35707
38789,35707
38794,35707
38797,35707
38800,35707
38816,35707
38818,35707
38823,35707
38826,35707
38841,35707
38847,35707
38858,35707
38864,35707
38867,35707
38870,35707
38894,35707
38901,35707
38904,35707
38921,35707
38936,35707
38938,35707
38948,35707
38951,35707
38972,35707
38981,35707
38984,35707
39002,35707
39011,35707
39025,35707
39027,35707
39032,35707
39035,35707
39053,35707
39055,35707
39062,35707
39079,35707
39081,35707
39086,35707
39089,35707
39105,35707
39107,35707
39112,35707
39124,35707
39126,35707
39131,35707
39142,35707
39144,35707
39149,35707
39152,35707
39168,35707
39170,35707
39175,35707
39178,35707
39190,35707
39191,35707
39196,35707
39199,35707
39213,35707
39215,35707
39220,35707
39223,35707
39236,35707
39238,35707
39245,35707
39257,35707
39390,7867
40083,40086
40093,40086
