"ID of memberid","ID of erasureid"
3286,3288
3301,3288
7893,7894
7907,7894
10026,10027
10030,10031
10056,10057
10063,10057
10081,10057
10260,10027
10351,10057
10356,10057
10427,10057
10512,10057
10557,10558
10562,10558
10567,10558
10623,10027
10624,10031
10635,10027
10636,10031
10655,10027
10656,10031
10664,10027
10665,10031
10673,10031
10710,10031
10766,10027
10777,10027
10778,10031
10785,10031
10789,10027
11019,7894
11025,7894
12019,7894
12055,7894
12791,7894
13029,7894
13477,7894
13519,7894
13556,3288
13606,7894
13691,13692
13699,3288
13706,13692
13836,7894
14804,14805
14840,14835
14847,14835
14911,14805
15369,7894
15448,7894
16206,7894
16264,7894
16553,7894
17074,13692
17212,17063
17375,7894
17447,7894
17884,7894
17935,7894
17973,7894
18037,7894
19465,7894
19725,7894
21736,7894
21860,7894
21916,21912
21995,21912
21997,21912
22176,21768
22618,10057
22973,7894
23925,7894
25124,7894
25542,7894
25604,7894
25641,7894
25684,7894
25729,7894
25817,7894
26062,7894
29330,10057
29562,7894
29604,7894
29644,7894
29883,10057
29889,10057
29893,10057
29904,10057
29919,10057
29929,10057
30008,10057
30041,10057
31336,31337
31389,31337
31404,31337
31432,31337
31506,10057
31728,31636
31855,10057
31863,31850
31943,10057
32354,31850
32355,10057
32361,31850
32373,31723
32374,31636
32376,31723
32377,31636
32381,31723
32382,31636
32389,31723
32390,31636
32489,31850
32490,10057
32500,31850
32501,10057
32511,31850
32512,10057
32574,10057
32715,7894
32774,7894
33409,7894
33911,33894
33998,33894
34570,7894
35699,35701
35708,35709
35712,35713
35720,35701
35723,35709
35738,35713
35740,35741
35748,35701
35760,35741
35762,35763
35766,35767
35774,35701
35777,35763
35780,35709
35796,35767
35798,35799
35806,35701
35809,35763
35821,35799
37768,7894
38146,7894
38184,7894
38398,35709
38408,35701
38421,35763
38491,38492
38495,38492
38670,38633
38675,35709
38685,38633
38692,38403
38697,35701
38700,35709
38716,38403
38718,38618
38736,38618
38738,38595
38743,35701
38746,35709
38763,38595
38765,38584
38770,35701
38773,35709
38787,38584
38789,38645
38794,35701
38797,38492
38800,35709
38816,38645
38818,38606
38823,35701
38826,35709
38841,38606
38847,35709
38858,38527
38864,35701
38867,35701
38870,35709
38894,38527
38901,35701
38904,35709
38921,35713
38936,35741
38938,38457
38948,35763
38951,35709
38972,38457
38981,35763
38984,35709
39002,35767
39011,35763
39025,35799
39027,38542
39032,35701
39035,35709
39053,38542
39055,38391
39062,35709
39079,38391
39081,38554
39086,35701
39089,35709
39105,38554
39107,38572
39112,35701
39124,38572
39126,38564
39131,35701
39142,38564
39144,38474
39149,35701
39152,35709
39168,38474
39170,38425
39175,35701
39178,35763
39190,38425
39191,38501
39196,35701
39199,38492
39213,38501
39215,38484
39220,35763
39223,38492
39236,38484
39238,38414
39245,35763
39257,38414
39390,7894
