"ID of id","ID of typeid","ID of parentid"
2792,2791,2779
7413,7412,7411
7448,7412,7447
7450,7412,7449
7452,7412,7451
7454,7412,7453
7456,7412,7455
7458,7412,7457
7460,7412,7459
7462,7412,7461
7465,7412,7464
7467,7412,7466
7469,7412,7468
7471,7412,7470
7474,7412,7472
7482,7412,7478
7485,7412,7483
7491,7412,7489
7494,7412,7492
7497,7412,7495
7500,7412,7498
7503,7412,7501
7506,7412,7504
7509,7412,7507
7512,7412,7510
7515,7412,7513
7518,7412,7516
7521,7412,7519
7526,7412,7522
7529,7412,7527
7532,7412,7530
7557,7412,7554
7562,7412,7558
7606,7412,7605
7626,7625,7618
7628,7412,7627
7630,7412,7629
7661,7412,7658
7665,7412,7664
7695,7694,7692
7723,7412,7722
7725,7412,7724
7730,7412,7726
7733,7412,7731
7736,7412,7734
7743,7412,7742
7760,7412,7758
7763,7412,7762
7767,7412,7766
7769,7412,7768
7772,7412,7770
7775,7412,7773
7780,7412,7776
7783,7412,7781
7785,7412,7784
7790,7412,7786
7793,7412,7791
7795,7412,7794
7834,7412,7833
7836,7412,7835
7839,7412,7837
7844,7412,7840
7847,7412,7845
7849,7412,7848
7852,7851,7850
7853,7412,7850
7921,7920,7919
7923,7920,7922
7977,7412,7974
7978,7851,7974
7982,7412,7979
7986,7412,7983
7990,7412,7987
7994,7412,7991
7998,7412,7995
8002,7412,7999
8006,7412,8003
8010,7412,8007
8013,7412,8011
8022,7412,8021
8027,7412,8026
8032,7412,8028
8035,7412,8033
8040,7412,8036
8043,7412,8041
8045,7412,8044
8047,7412,8046
8049,7412,8048
8051,7412,8050
8053,7412,8052
8055,7412,8054
8057,7412,8056
8059,7412,8058
8061,7412,8060
8063,7412,8062
8065,7412,8064
8067,7412,8066
8072,7412,8068
8074,7412,8073
8076,7412,8075
8077,7851,8075
8079,7412,8078
8081,8080,8078
8085,8084,8082
8088,7412,8086
8091,7412,8089
8092,7851,8089
8095,7412,8093
8096,7851,8093
8101,7824,8098
8102,7816,8098
8104,7412,8103
8105,7851,8103
8107,7412,8106
8108,7851,8106
8110,7412,8109
8111,7851,8109
8113,7412,8112
8114,7851,8112
8116,7412,8115
8117,7851,8115
8119,7412,8118
8120,8084,8118
8123,7412,8121
8127,7816,8126
8132,7412,8131
8134,7412,8133
8139,7412,8135
8142,7412,8140
8145,7412,8143
8148,7412,8146
8160,7412,8153
8192,7412,8190
8196,7412,8194
8199,7412,8197
8202,7412,8200
8205,7412,8203
8208,7412,8206
8211,7412,8209
8214,7412,8212
8217,7412,8215
8220,7412,8218
8223,7412,8221
8226,7412,8224
8228,7412,8227
8230,7412,8229
8232,7412,8231
8237,7412,8233
8240,7412,8238
8243,7412,8241
8246,7412,8244
8248,7412,8247
8251,8084,8249
8254,7412,8252
8257,7412,8255
8260,7412,8258
8262,7412,8261
8264,7412,8263
8266,7412,8265
8268,7412,8267
8271,7412,8269
8274,7412,8272
8277,7412,8275
8280,7412,8278
8282,7412,8281
8283,8084,8281
8286,7412,8284
8321,7798,8320
8324,7412,8322
8326,8325,8322
8329,7412,8327
8330,8325,8327
8333,7412,8331
8334,8325,8331
8338,7851,8335
8339,7412,8335
8340,8325,8335
8344,7412,8341
8345,8325,8341
8348,8347,8346
8350,8349,8346
8351,8325,8346
8377,7798,8376
8379,7798,8378
8381,7798,8380
8383,7798,8382
8387,7412,8385
8390,7412,8388
8391,7851,8388
8397,7798,8392
8402,7798,8398
8518,7412,8517
8520,7412,8519
8525,7412,8521
8528,7412,8526
8531,7412,8529
8599,7412,8597
8614,7412,8611
8618,7706,8615
8620,8619,8615
8623,7706,8621
8627,7412,8624
8631,7706,8628
8632,8619,8628
8635,7706,8633
8644,8619,8640
8735,7412,8732
8739,7706,8736
8740,8619,8736
8743,7706,8741
8747,7412,8744
8751,7706,8748
8752,8619,8748
8755,7706,8753
8776,7412,8774
8778,7412,8777
8780,7412,8779
8783,7412,8781
8786,7412,8785
8789,7412,8787
8794,7412,8790
8797,7412,8795
8799,7412,8798
8803,7412,8801
8838,7412,8837
8840,7412,8839
8843,7412,8841
8848,7412,8844
8851,7412,8849
8856,7412,8852
8859,7412,8857
8864,7412,8860
8867,7412,8865
8870,7412,8868
9044,7412,9042
9049,7412,9045
9052,7412,9050
9056,2791,9055
9594,9593,9589
9595,8084,9589
9607,9593,9603
9608,8084,9603
9613,9612,9609
9614,8084,9609
9627,8084,9621
9633,8084,9631
9645,8084,9643
9648,8084,9646
9652,9593,9649
9653,8084,9649
9658,9593,9654
9659,8084,9654
9663,9612,9660
9664,8084,9660
9667,8084,9665
9670,8084,9668
9673,8084,9671
9684,8084,9682
9687,8084,9685
9690,8084,9688
9693,8084,9691
9758,8347,9753
9760,9759,9753
9770,7851,9765
9774,7851,9771
9891,7412,9888
9899,7412,9897
9908,7412,9906
9914,7412,9911
9924,7851,9922
9959,9782,9955
9966,9782,9960
9972,9782,9967
9980,9782,9973
9986,7851,9984
9995,7851,9992
9998,7851,9996
10413,7920,10412
10415,7920,10414
10700,7920,10699
10702,7920,10701
10906,10905,10900
10921,10905,10919
10927,10905,10925
10958,10014,10955
10961,10014,10959
11018,10014,11016
11186,10905,11184
11212,10905,11207
11223,10905,11221
11227,10905,11224
11230,10905,11228
11236,10905,11231
11240,10905,11237
11243,10905,11241
11249,10905,11244
11253,10905,11250
11409,10905,11404
11417,10905,11415
11423,10905,11421
11427,10905,11424
11430,10905,11428
11436,10905,11431
11440,10905,11437
11443,10905,11441
11449,10905,11444
11453,10905,11450
11495,7412,11492
11714,2889,11710
11718,2875,11715
11721,2875,11719
11723,2875,11722
11730,7920,11728
11800,10905,11798
11815,7412,11813
12028,7920,12027
12064,7920,12063
12402,8619,12400
12445,8619,12442
12456,12455,12452
12462,12455,12459
12477,8619,12472
12800,7920,12799
12935,7412,12934
13038,7920,13037
13123,2875,13121
13125,2875,13124
13129,2875,13126
13132,2875,13130
13213,7920,13212
13237,2875,13235
13241,2875,13238
13243,2875,2855
13486,7920,13485
13528,7920,13527
13596,10014,13594
13615,7920,13614
13845,7920,13844
15176,2889,15173
15216,8347,15214
15378,7920,15377
15457,7920,15456
15633,2889,15630
15637,2889,15634
15701,2889,15699
15707,2889,15702
15712,2889,15708
15916,9759,15907
15917,15908,15907
16106,9759,16104
16148,2889,16146
16151,2889,16149
16156,2889,16152
16161,2889,16157
16166,2889,16162
16171,2889,16167
16176,2889,16172
16181,2889,16177
16186,2889,16182
16191,2889,16187
16215,7920,16214
16273,7920,16272
16322,2889,16316
16332,2889,16327
16356,2889,16351
16401,16398,16397
16413,2889,16407
16562,7920,16561
16595,10014,16590
16603,9759,16599
16608,9759,16604
16613,9759,16609
16628,9759,16626
16632,9593,16629
16637,9759,16635
16649,10014,16646
16655,9593,16650
16656,9759,16650
16662,9612,16657
16663,9759,16657
16668,9759,16666
16671,9759,16669
16674,9759,16672
16677,9759,16675
16681,9759,16678
16684,9759,16682
16689,9593,16685
16690,9759,16685
16695,9612,16691
16696,9759,16691
16701,9612,16697
16702,9759,16697
16707,9612,16703
16708,9759,16703
16713,9612,16709
16714,9759,16709
16719,9612,16715
16720,9759,16715
16725,9612,16721
16726,9759,16721
16732,9593,16727
16733,9759,16727
16736,9759,16734
16739,9759,16737
16742,7851,16740
16743,9759,16740
16747,9593,16744
16748,9759,16744
16753,9593,16749
16754,9759,16749
16759,9593,16755
16760,9759,16755
16777,9759,16772
16782,9759,16778
16785,9759,16783
17011,11082,17008
17015,11082,17012
17018,11082,17016
17021,11082,17019
17024,11082,17022
17027,11082,17025
17030,11082,17028
17044,9759,17037
17053,9759,17047
17057,9759,17054
17103,11082,17100
17104,13406,17100
17108,11082,17105
17109,13406,17105
17384,7920,17383
17456,7920,17455
17495,10014,17493
17509,10014,17507
17893,7920,17892
17944,7920,17943
17982,7920,17981
18046,7920,18045
18113,7412,18111
18117,7412,18114
18198,7412,18197
18200,7412,18199
18207,7412,18203
18212,7412,18208
18217,7412,18213
18221,7412,18220
18266,7920,18265
18300,2875,18299
18303,2875,18301
18308,2875,18307
18311,11082,18309
18312,2875,18309
18322,2875,18320
18324,2875,18323
18340,7920,18339
18364,7920,18363
18390,9759,18385
18530,8347,18526
18531,9759,18526
18532,8349,18526
18537,8347,18533
18538,9759,18533
18539,11082,18533
18540,8349,18533
18695,11082,18690
18696,9759,18690
18702,11082,18697
18703,9759,18697
18709,11082,18704
18710,9759,18704
18716,11082,18711
18717,9759,18711
18723,11082,18718
18724,9759,18718
18730,11082,18725
18731,9759,18725
18737,11082,18732
18738,9759,18732
18744,11082,18739
18745,9759,18739
18751,11082,18746
18752,9759,18746
18757,11082,18753
18758,9759,18753
18763,11082,18759
18764,9759,18759
18769,11082,18765
18770,9759,18765
18775,11082,18771
18776,9759,18771
18781,11082,18777
18782,9759,18777
18787,11082,18783
18788,9759,18783
18793,11082,18789
18794,9759,18789
18799,11082,18795
18800,9759,18795
18805,11082,18801
18806,9759,18801
18884,9759,18878
18885,8349,18878
19474,7920,19473
19511,7412,19508
19514,7412,19512
19551,19550,19549
19554,19550,19552
19560,19550,19558
19564,19550,19561
19568,19550,19566
19571,19550,19569
19575,19550,19572
19591,7412,19587
19594,7412,19592
19627,7412,19622
19632,19550,19630
19636,19550,19633
19638,19550,19637
19666,19665,19664
19668,19665,19667
19670,19665,19669
19672,19665,19671
19674,19665,19673
19676,19665,19675
19679,19665,19677
19683,19665,19680
19686,19665,19684
19689,19665,19687
