"ID of id","ID of target"
40342,40343
40345,40346
40347,40348
40347,40349
40347,40350
40347,40351
40347,40352
40347,40353
40347,40354
40347,40355
40347,40356
40358,40359
40360,40361
40362,40359
40362,40363
40362,40364
40362,40365
40362,40366
40362,40367
40369,40355
40371,40355
40373,40355
40373,40364
40374,40349
40374,40351
40374,40375
40377,40349
40378,40343
40378,40348
40378,40349
40378,40350
40378,40351
40378,40352
40378,40353
40378,40359
40378,40361
40378,40364
40378,40366
40378,40379
40378,40380
40378,40381
40378,40382
40378,40383
40378,40384
40378,40385
40386,40354
40386,40355
40386,40359
40386,40375
40386,40387
40386,40388
40390,40354
40390,40355
40390,40359
40392,40359
40394,40355
40394,40359
40396,40359
40398,40359
40400,40359
40402,40350
40402,40403
40402,40404
40406,40359
40406,40367
40407,40348
40408,40349
40408,40383
40408,40385
40408,40409
40408,40410
40408,40411
40413,40354
40414,40415
40417,40359
40419,40359
40420,40350
40420,40367
40420,40403
40420,40404
40421,40359
40421,40361
40421,40375
40421,40383
40421,40385
40422,40361
40423,40364
40425,40379
40425,40426
40428,40380
40428,40426
40430,40356
40432,40348
40432,40379
40432,40433
40432,40434
40436,40354
40436,40379
40438,40380
40439,40343
40439,40350
40439,40356
40439,40434
40441,40348
40441,40353
40443,40356
40444,40364
40446,40348
40448,40348
40448,40350
40448,40352
40448,40387
40448,40410
40448,40449
40451,40348
40451,40380
40451,40452
40454,40343
40456,40343
40458,40343
40458,40426
40458,40452
40458,40459
40461,40354
40461,40452
40463,40343
40463,40352
40463,40380
40463,40452
40463,40464
40466,40351
40466,40354
40468,40343
40470,40354
40472,40354
40473,40343
40473,40346
40473,40348
40473,40351
40473,40352
40473,40354
40473,40380
40473,40452
40473,40459
40473,40464
40473,40474
40473,40475
40477,40452
40479,40452
40481,40354
40483,40343
40483,40354
40483,40452
40485,40355
40487,40348
40487,40355
40487,40488
40490,40348
40490,40349
40490,40491
40493,40488
