"ID of id","kind","ID of typeid","ID of parent","idx"
85,62,71,81,-1
93,62,88,89,-1
97,62,87,95,-1
101,62,87,99,-1
105,41,88,103,0
107,60,87,105,0
109,60,87,105,1
127,62,71,123,-1
131,63,132,129,0
140,56,132,129,1
144,2,132,140,0
146,3,132,144,-2
148,17,87,146,0
150,17,87,146,1
152,17,87,146,2
156,62,157,154,0
159,56,157,154,1
163,61,157,159,0
165,60,132,163,-1
170,62,87,168,0
172,56,87,168,1
176,61,87,172,0
178,60,132,176,-1
183,62,157,181,0
185,56,157,181,1
189,61,157,185,0
191,62,113,189,-1
194,60,132,189,0
198,62,87,196,0
200,56,87,196,1
204,61,87,200,0
206,62,113,204,-1
209,60,132,204,0
211,62,87,131,0
236,62,71,232,-1
240,63,132,238,0
242,56,132,238,1
246,2,132,242,0
248,62,87,246,-1
250,17,87,246,0
254,63,255,252,0
259,56,255,252,1
263,2,255,259,0
265,62,88,263,-1
267,17,87,263,0
277,62,87,240,0
279,62,88,254,0
281,61,71,269,0
283,60,284,281,-1
287,61,157,281,0
289,62,290,283,-1
293,60,132,287,-1
295,61,71,271,0
297,60,284,295,-1
299,61,157,295,0
301,62,290,297,-1
303,60,255,299,-1
305,61,71,273,0
307,60,284,305,-1
309,61,157,305,0
311,62,290,307,-1
313,62,113,309,-1
315,60,132,309,0
317,61,71,275,0
319,60,284,317,-1
321,61,157,317,0
323,62,290,319,-1
325,62,113,321,-1
328,60,255,321,0
359,62,71,355,-1
363,62,87,361,0
365,56,87,361,1
369,17,87,365,0
373,62,374,371,0
376,56,374,371,1
380,23,381,376,0
385,62,88,383,0
387,56,88,383,1
391,16,88,387,0
395,62,396,393,0
398,56,396,393,1
402,23,381,398,0
416,4,87,404,0
418,60,87,416,0
420,17,87,416,1
422,4,374,406,0
424,60,374,422,0
426,17,87,422,1
428,4,88,408,0
430,60,88,428,0
432,16,88,428,1
434,4,396,410,0
436,60,396,434,0
438,16,88,434,1
440,4,88,412,0
442,60,88,440,0
444,51,396,440,1
446,62,396,444,0
448,23,381,444,1
450,4,396,414,0
452,60,396,450,0
454,23,381,450,1
472,62,71,468,-1
476,62,477,474,0
479,56,477,474,1
483,20,477,479,0
487,62,488,485,0
490,56,488,485,1
494,19,488,490,0
498,62,458,496,0
500,56,458,496,1
504,52,458,500,0
506,62,458,504,-3
508,60,477,504,0
513,62,458,511,0
515,56,458,511,1
519,52,458,515,0
521,62,458,519,-3
523,20,477,519,0
527,62,458,525,0
529,56,458,525,1
533,52,458,529,0
535,62,458,533,-3
537,60,488,533,0
541,62,458,539,0
543,56,458,539,1
547,61,458,543,0
549,62,458,547,-1
552,60,477,547,0
556,62,458,554,0
558,56,458,554,1
562,61,458,558,0
564,62,458,562,-1
566,20,477,562,0
601,62,71,597,-1
605,62,87,603,-1
609,62,88,607,0
611,56,88,607,1
615,16,88,611,0
619,62,87,617,0
621,56,87,617,1
625,17,87,621,0
641,41,88,627,0
645,60,88,641,0
647,16,88,641,1
651,61,71,649,0
653,60,284,651,-1
655,22,157,651,0
657,62,290,653,-1
659,60,88,629,0
665,61,71,663,0
667,60,284,665,-1
669,22,157,665,0
671,62,290,667,-1
673,41,88,631,0
677,60,88,673,0
679,16,88,673,1
683,61,71,681,0
685,60,284,683,-1
687,22,157,683,0
689,62,290,685,-1
691,50,88,633,0
695,60,88,691,0
699,61,71,697,0
701,60,284,699,-1
703,22,157,699,0
705,62,290,701,-1
707,37,88,635,0
711,60,87,707,0
713,17,87,707,1
717,61,71,715,0
719,60,284,717,-1
721,22,157,717,0
723,62,290,719,-1
725,38,88,637,0
729,60,87,725,0
731,17,87,725,1
735,61,71,733,0
737,60,284,735,-1
739,22,157,735,0
741,62,290,737,-1
743,41,88,639,0
747,60,87,743,0
749,17,87,743,1
753,61,71,751,0
755,60,284,753,-1
757,22,157,753,0
759,62,290,755,-1
777,62,71,773,-1
781,63,770,779,-1
783,62,157,781,0
787,62,788,785,0
790,56,788,785,1
794,17,87,790,0
798,62,87,796,0
800,56,87,796,1
804,17,87,800,0
812,62,788,810,0
814,56,788,810,1
818,47,87,814,0
820,17,87,818,0
830,61,71,806,0
832,60,284,830,-1
835,41,88,830,0
837,62,290,832,-1
839,60,788,835,0
841,60,87,835,1
843,61,71,808,0
845,60,284,843,-1
848,27,87,843,0
850,62,290,845,-1
852,60,788,848,0
854,60,87,848,1
856,61,71,822,0
858,60,284,856,-1
860,41,88,856,0
862,62,290,858,-1
864,60,788,860,0
866,17,87,860,1
868,61,71,824,0
870,60,284,868,-1
872,42,88,868,0
874,62,290,870,-1
876,60,788,872,0
878,17,87,872,1
880,61,71,826,0
882,60,284,880,-1
884,42,88,880,0
886,62,290,882,-1
888,60,788,884,0
890,60,788,884,1
892,61,71,828,0
894,60,284,892,-1
896,42,88,892,0
898,62,290,894,-1
900,60,87,896,0
902,17,87,896,1
920,62,71,916,-1
924,62,925,922,0
959,56,925,922,1
963,52,925,959,0
965,62,925,963,-3
988,66,987,981,0
994,66,987,993,0
1050,66,987,1046,0
1054,66,987,1053,0
1089,66,987,1085,0
1100,66,987,1099,0
1379,66,987,1375,0
1383,66,987,1382,0
1394,66,987,1390,0
1395,66,987,1386,0
1400,66,987,1399,0
1401,66,987,1398,0
1549,66,987,1548,0
1556,66,987,1555,0
1557,66,987,1554,0
1563,66,987,1562,0
1580,66,987,1579,0
1762,56,925,1760,1
1766,60,925,1762,0
1784,62,374,924,0
1786,61,88,1768,0
1788,60,925,1786,-1
1790,17,87,1786,0
1792,61,88,1770,0
1794,60,925,1792,-1
1796,17,87,1792,0
1798,61,88,1772,0
1800,60,925,1798,-1
1802,17,87,1798,0
1804,61,88,1774,0
1808,60,925,1804,-1
1812,61,71,1810,0
1814,60,284,1812,-1
1816,22,157,1812,0
1818,62,290,1814,-1
1820,61,88,1776,0
1822,60,925,1820,-1
1824,17,87,1820,0
1826,41,88,1778,0
1830,61,87,1826,0
1832,17,87,1826,1
1834,60,925,1830,-1
1838,61,71,1836,0
1840,60,284,1838,-1
1842,22,157,1838,0
1844,62,290,1840,-1
1846,41,88,1780,0
1850,61,87,1846,0
1852,17,87,1846,1
1854,60,925,1850,-1
1858,61,71,1856,0
1860,60,284,1858,-1
1862,22,157,1858,0
1864,62,290,1860,-1
1866,61,71,1782,0
1868,60,284,1866,-1
1870,41,88,1866,0
1872,62,290,1868,-1
1874,61,87,1870,0
1876,17,87,1870,1
1878,60,925,1874,-1
1904,62,71,1900,-1
1908,62,1909,1906,0
1913,56,1909,1906,1
1917,60,1183,1913,0
1919,62,1882,1917,-1
1924,62,1925,1922,0
1929,56,1925,1922,1
1933,60,1934,1929,0
1936,62,1882,1933,-1
1941,62,1942,1939,0
1946,56,1942,1939,1
1950,60,1951,1946,0
1953,62,1882,1950,-1
1958,62,1909,1956,0
1960,56,1909,1956,1
1964,61,1909,1960,0
1966,62,1882,1964,-1
1971,62,1925,1969,0
1973,56,1925,1969,1
1977,61,1925,1973,0
1979,62,1882,1977,-1
1984,62,1942,1982,0
1986,56,1942,1982,1
1990,61,1942,1986,0
1992,62,1882,1990,-1
1995,62,157,1908,0
1997,62,157,1924,0
1999,62,157,1924,1
2001,62,157,1941,0
2003,62,157,1958,0
2005,62,157,1971,0
2007,62,157,1971,1
2009,62,157,1984,0
2048,62,87,2044,-1
2052,62,87,2050,-1
2056,60,87,2054,0
2058,62,374,2056,-1
2065,62,87,2061,-1
2069,62,87,2067,-1
2073,47,87,2071,0
2075,17,87,2073,0
2081,62,87,2077,-1
2085,62,87,2083,-1
2089,38,88,2087,0
2095,60,87,2089,0
2097,17,87,2089,1
2099,60,87,2091,0
2101,62,374,2099,-1
2103,47,87,2093,0
2105,17,87,2103,0
2136,62,71,2132,-1
2140,62,87,2138,-1
2144,62,88,2142,0
2146,56,88,2142,1
2150,16,88,2146,0
2154,62,87,2152,0
2156,56,87,2152,1
2160,17,87,2156,0
2176,41,88,2162,0
2180,51,396,2176,0
2182,23,381,2176,1
2184,62,396,2180,0
2186,60,88,2180,1
2190,61,71,2188,0
2192,60,284,2190,-1
2194,22,157,2190,0
2196,62,290,2192,-1
2198,42,88,2164,0
2202,51,396,2198,0
2204,23,381,2198,1
2206,62,396,2202,0
2208,60,88,2202,1
2212,61,71,2210,0
2214,60,284,2212,-1
2216,22,157,2212,0
2218,62,290,2214,-1
2220,55,88,2166,0
2224,51,396,2220,0
2226,62,396,2220,1
2228,62,396,2224,0
2230,60,88,2224,1
2234,61,71,2232,0
2236,60,284,2234,-1
2238,22,157,2234,0
2240,62,290,2236,-1
2242,41,88,2168,0
2246,60,88,2242,0
2248,16,88,2242,1
2252,61,71,2250,0
2254,60,284,2252,-1
2256,22,157,2252,0
2258,62,290,2254,-1
2260,37,88,2170,0
2264,60,87,2260,0
2266,17,87,2260,1
2270,61,71,2268,0
2272,60,284,2270,-1
2274,22,157,2270,0
2276,62,290,2272,-1
2278,38,88,2172,0
2282,60,87,2278,0
2284,17,87,2278,1
2288,61,71,2286,0
2290,60,284,2288,-1
2292,22,157,2288,0
2294,62,290,2290,-1
2296,41,88,2174,0
2300,60,87,2296,0
2302,17,87,2296,1
2306,61,71,2304,0
2308,60,284,2306,-1
2310,22,157,2306,0
2312,62,290,2308,-1
2327,62,87,2323,-1
2331,56,88,2329,1
2335,36,88,2331,0
2337,38,88,2335,0
2339,16,88,2335,1
2341,17,87,2337,0
2343,17,87,2337,1
2355,50,88,2345,0
2359,60,88,2355,0
2361,17,87,2357,0
2363,36,88,2347,0
2367,16,88,2363,0
2369,60,88,2363,1
2371,17,87,2365,0
2373,16,88,2349,0
2377,17,87,2375,0
2379,16,88,2351,0
2383,17,87,2381,0
2385,17,87,2353,0
2408,62,71,2404,-1
2412,63,770,2410,-1
2414,62,157,2412,0
2419,62,71,2397,-1
2424,62,71,2395,-1
2430,62,87,2426,-1
2434,17,87,2432,0
2439,62,477,2390,-1
2443,20,477,2441,0
2459,62,71,2454,-1
2465,62,71,2461,-1
2469,62,87,2467,-1
2476,62,71,2471,-1
2482,62,71,2478,-1
2486,62,88,2484,0
2493,62,157,2491,0
2526,4,925,2525,0
2527,60,925,2526,0
2531,52,925,2526,1
2533,62,925,2531,-3
2542,61,71,2540,0
2546,62,925,2544,0
2547,62,374,2546,0
2553,62,87,2551,0
2558,62,87,2556,0
2564,62,87,2562,0
2570,62,87,2568,0
2576,62,87,2574,0
2582,62,87,2580,0
2591,62,71,2586,-1
2595,62,87,2593,-1
2611,61,88,2597,0
2613,60,925,2611,-1
2615,60,87,2611,0
2617,4,87,2599,0
2619,60,87,2617,0
2621,60,87,2617,1
2623,4,87,2601,0
2625,60,87,2623,0
2627,60,87,2623,1
2629,4,87,2603,0
2631,60,87,2629,0
2633,60,87,2629,1
2635,4,87,2605,0
2637,60,87,2635,0
2639,60,87,2635,1
2641,4,87,2607,0
2643,60,87,2641,0
2645,60,87,2641,1
2647,4,87,2609,0
2649,60,87,2647,0
2651,60,87,2647,1
2718,62,87,2716,0
2723,62,87,2721,0
2729,62,87,2727,0
2735,62,87,2733,0
2741,62,87,2739,0
2747,62,87,2745,0
2783,62,71,2779,-1
2787,63,770,2785,-1
2789,62,157,2787,0
2796,62,2797,2794,0
2799,56,2797,2794,1
2803,52,2797,2799,0
2805,62,2797,2803,-3
2807,52,2808,2803,0
2816,62,2811,2807,-3
2826,62,71,2812,-1
2842,61,71,2834,0
2844,60,284,2842,-1
2846,22,157,2842,0
2848,62,290,2844,-1
2850,61,71,2836,0
2852,62,2797,2850,-1
2856,17,87,2850,0
2858,61,71,2838,0
2860,60,284,2858,-1
