"ID of id","nodeName","ID of typeid","ID of parentid","ID of sourceid"
133,"length",87,132,133
256,"length",87,255,256
292,"out",284,290,292
771,"length",87,770,771
1091,"length",87,1090,1091
1096,"length",87,1095,1096
1106,"length",87,1105,1106
1160,"length",87,1159,1160
1202,"length",87,1201,1202
1441,"length",87,1440,1441
1540,"modCount",87,935,1540
1704,"length",87,1703,1704
1759,"elementData",1090,906,1759
1921,"EMPTY_LIST",1183,1882,1921
1938,"EMPTY_MAP",1934,1882,1938
1955,"EMPTY_SET",1951,1882,1955
2060,"MIN_VALUE",87,374,2060
2488,"field",88,2447,2488
2495,"fieldNotDocumented",157,2447,2495
2512,"world",87,2511,2512
2516,"hello",87,2511,2516
2517,"set",87,2511,2517
2518,"get",87,2511,2518
2519,"with",87,2511,2519
2520,"each",87,2511,2520
2521,"as",925,2511,2521
2702,"world",87,2701,2702
2705,"hello",87,2701,2705
2706,"set",87,2701,2706
2707,"get",87,2701,2707
2708,"with",87,2701,2708
2709,"each",87,2701,2709
3189,"val",87,3188,3189
3529,"obj2",3530,3528,3529
3533,"obj",3530,3528,3533
3534,"var1",396,3528,3534
3595,"x",87,3530,3595
4901,"x",88,4900,4901
5029,"serialVersionUID",2854,5028,5029
5056,"serialVersionUID",2854,5055,5056
5094,"serialVersionUID",2854,5093,5094
5306,"ROOT",5223,5223,5306
6351,"thl",6346,6350,6351
6812,"val",87,6801,6812
7144,"SOME_CONSTANT",87,7134,7144
7159,"member",87,7158,7159
7193,"id",87,7188,7193
7247,"q",87,7246,7247
7424,"length",87,7423,7424
7476,"length",87,7475,7476
7567,"length",87,7566,7567
7650,"pathSeparator",157,7533,7650
7651,"pathSeparatorChar",7422,7533,7651
7652,"separator",157,7533,7652
7653,"separatorChar",7422,7533,7653
7698,"err",7654,7654,7698
7699,"out",7654,7654,7699
7700,"in",7654,7654,7700
7739,"out",7721,7718,7739
7754,"serialVersionUID",2854,7412,7754
7815,"classname",157,7798,7815
7946,"length",87,7945,7946
7949,"REJECTED",7863,7863,7949
7950,"ALLOWED",7863,7863,7950
7951,"UNDECIDED",7863,7863,7951
8293,"hasData",88,8287,8293
8294,"desc",8014,8287,8294
8318,"length",87,8317,8318
8370,"length",87,8369,8370
8420,"NO_FIELDS",8369,8014,8420
8424,"PROTOCOL_VERSION_2",87,8019,8424
8425,"PROTOCOL_VERSION_1",87,8019,8425
8426,"SERIAL_FILTER_PERMISSION",8427,8019,8426
8428,"SUBCLASS_IMPLEMENTATION_PERMISSION",8427,8019,8428
8429,"SUBSTITUTION_PERMISSION",8427,8019,8429
8430,"SC_ENUM",788,8019,8430
8431,"SC_EXTERNALIZABLE",788,8019,8431
8432,"SC_SERIALIZABLE",788,8019,8432
8433,"SC_BLOCK_DATA",788,8019,8433
8434,"SC_WRITE_METHOD",788,8019,8434
8435,"baseWireHandle",87,8019,8435
8436,"TC_MAX",788,8019,8436
8437,"TC_ENUM",788,8019,8437
8438,"TC_PROXYCLASSDESC",788,8019,8438
8439,"TC_LONGSTRING",788,8019,8439
8440,"TC_EXCEPTION",788,8019,8440
8441,"TC_BLOCKDATALONG",788,8019,8441
8442,"TC_RESET",788,8019,8442
8443,"TC_ENDBLOCKDATA",788,8019,8443
8444,"TC_BLOCKDATA",788,8019,8444
8445,"TC_CLASS",788,8019,8445
8446,"TC_ARRAY",788,8019,8446
8447,"TC_STRING",788,8019,8447
8448,"TC_OBJECT",788,8019,8448
8449,"TC_CLASSDESC",788,8019,8449
8450,"TC_REFERENCE",788,8019,8450
8451,"TC_NULL",788,8019,8451
8452,"TC_BASE",788,8019,8452
8453,"STREAM_VERSION",7463,8019,8453
8454,"STREAM_MAGIC",7463,8019,8454
8513,"eof",88,8506,8513
8514,"length",87,8506,8514
8770,"out",8652,7442,8770
8810,"lock",79,7440,8810
8877,"lock",79,8652,8877
9036,"count",87,8878,9036
9037,"maybeLatin1",88,8878,9037
9038,"coder",788,8878,9038
9039,"value",7475,8878,9039
9113,"TYPE",9112,396,9113
9114,"FALSE",396,396,9114
9115,"TRUE",396,396,9115
9385,"BYTES",87,9131,9385
9386,"SIZE",87,9131,9386
9387,"MAX_CODE_POINT",87,9131,9387
9388,"MIN_CODE_POINT",87,9131,9388
9389,"MIN_SUPPLEMENTARY_CODE_POINT",87,9131,9389
9390,"MAX_SURROGATE",7422,9131,9390
9391,"MIN_SURROGATE",7422,9131,9391
9392,"MAX_LOW_SURROGATE",7422,9131,9392
9393,"MIN_LOW_SURROGATE",7422,9131,9393
9394,"MAX_HIGH_SURROGATE",7422,9131,9394
9395,"MIN_HIGH_SURROGATE",7422,9131,9395
9396,"DIRECTIONALITY_POP_DIRECTIONAL_ISOLATE",788,9131,9396
9397,"DIRECTIONALITY_FIRST_STRONG_ISOLATE",788,9131,9397
9398,"DIRECTIONALITY_RIGHT_TO_LEFT_ISOLATE",788,9131,9398
9399,"DIRECTIONALITY_LEFT_TO_RIGHT_ISOLATE",788,9131,9399
9400,"DIRECTIONALITY_POP_DIRECTIONAL_FORMAT",788,9131,9400
9401,"DIRECTIONALITY_RIGHT_TO_LEFT_OVERRIDE",788,9131,9401
9402,"DIRECTIONALITY_RIGHT_TO_LEFT_EMBEDDING",788,9131,9402
9403,"DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE",788,9131,9403
9404,"DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING",788,9131,9404
9405,"DIRECTIONALITY_OTHER_NEUTRALS",788,9131,9405
9406,"DIRECTIONALITY_WHITESPACE",788,9131,9406
9407,"DIRECTIONALITY_SEGMENT_SEPARATOR",788,9131,9407
9408,"DIRECTIONALITY_PARAGRAPH_SEPARATOR",788,9131,9408
9409,"DIRECTIONALITY_BOUNDARY_NEUTRAL",788,9131,9409
9410,"DIRECTIONALITY_NONSPACING_MARK",788,9131,9410
