"ID of id1","ID of id2"
69,134
74,134
79,134
80,134
81,134
89,134
113,134
116,134
118,134
123,134
133,134
133,135
136,134
137,134
137,952
138,134
138,952
157,134
157,135
167,134
180,134
180,7693
193,134
193,1189
208,134
208,1189
225,134
227,134
232,134
256,134
256,135
257,134
284,134
286,134
290,134
290,135
292,134
292,135
292,1189
327,134
327,1189
348,134
350,134
355,134
374,134
374,135
396,134
396,135
458,134
461,134
463,134
468,134
510,134
551,134
551,1189
590,134
592,134
597,134
763,134
765,134
771,134
771,135
772,134
773,134
773,1189
834,134
847,134
906,134
909,134
911,134
916,134
925,134
934,134
934,952
935,134
935,952
938,134
938,952
939,134
939,952
942,134
942,952
943,134
943,952
946,134
946,952
948,134
948,952
953,134
953,952
954,134
954,952
957,134
957,952
967,134
968,134
969,134
969,952
970,134
970,952
973,134
973,976
975,134
975,952
977,134
977,976
978,134
978,952
981,134
981,952
983,134
983,952
987,134
987,952
989,134
989,976
993,134
993,952
995,134
995,976
997,134
997,952
998,134
998,952
1001,134
1001,952
1002,134
1002,952
1003,134
1003,952
1004,134
1004,952
1005,134
1005,952
1007,134
1007,952
1011,134
1011,952
1012,134
1012,952
1015,134
1015,952
1016,134
1016,976
1018,134
1018,952
1019,134
1019,952
1020,134
1020,976
1021,134
1021,952
1022,134
1022,952
1023,134
1023,976
1024,134
1024,976
1025,134
1025,976
1026,134
1026,952
1027,134
1027,976
1028,134
1028,952
1029,134
1029,952
1030,134
1030,952
1032,134
1032,952
1034,134
1034,952
1035,134
1035,952
1038,134
1038,952
1039,134
1039,952
1040,134
1040,952
1042,134
1042,952
1046,134
1046,952
1047,134
1047,952
1051,134
1051,976
1053,134
1053,952
1055,134
1055,976
1057,134
1057,952
1059,134
1059,952
1063,134
1063,952
1064,134
1064,952
1065,134
1065,952
1069,134
1069,952
1070,134
1070,952
1071,134
1071,952
1073,134
1073,952
1075,134
1075,952
1077,134
1077,952
1079,134
1079,952
1081,134
1081,952
1083,134
1083,952
1085,134
1085,952
1086,134
1086,952
1091,134
1091,135
1092,134
1093,134
1093,976
1096,134
1096,135
1097,134
1099,134
1099,952
1101,134
1101,976
1103,134
1103,952
1106,134
1106,135
1107,134
1109,134
1109,952
1111,134
1111,952
1112,134
1112,952
1113,134
1113,952
1114,134
1114,952
1115,134
1115,952
1116,134
1116,952
1118,134
1118,952
1120,134
1120,952
1121,134
1121,952
1122,134
1122,952
1123,134
1123,952
1124,134
1125,134
1126,134
1127,134
1128,134
1130,134
1132,134
1134,134
1139,134
1139,952
1140,134
1140,952
1141,134
1143,134
1145,134
1147,134
1149,134
1151,134
1153,134
1155,134
1157,134
1160,134
1160,135
1161,134
1163,134
1165,134
1166,134
1167,134
1169,134
1171,134
1172,134
1173,134
1173,952
1174,134
1174,952
1175,134
1175,952
1176,134
1176,952
1177,134
1177,952
1178,1179
1180,1179
1181,134
1181,952
1182,134
1182,952
1183,134
1183,952
1184,134
1184,1189
1186,134
1186,952
1187,134
1187,952
1188,134
1188,952
1193,134
1193,952
1194,134
1194,952
1195,134
1195,1189
1197,134
1197,952
1198,134
1198,952
1199,134
1199,952
1202,134
1202,135
1203,134
1204,134
1204,1189
1206,134
1206,952
1207,134
1207,952
1208,134
1208,952
1219,134
1219,1189
1221,134
1221,952
1222,134
1222,952
1223,134
1223,952
1233,134
1233,1189
1235,134
1235,952
1236,134
1236,952
1237,134
1237,952
1246,134
1246,1189
1248,134
1248,952
1249,134
1249,952
1250,134
1250,952
1258,134
1258,1189
1260,134
1260,952
1261,134
1261,952
1262,134
1262,952
1269,134
1269,1189
1271,134
1271,952
1272,134
1272,952
1273,134
1273,952
1279,134
1279,1189
1281,134
1281,952
1282,134
1282,952
1283,134
1283,952
1288,134
1288,1189
1290,134
1290,952
1291,134
1291,952
1292,134
1292,952
1296,134
1296,1189
1298,134
1298,952
1299,134
1299,952
1300,134
1300,952
1303,134
1303,1189
1305,134
1305,952
1306,134
1306,952
1307,134
1307,952
1309,134
1309,1189
1311,134
1311,952
1312,134
1312,952
1313,134
1313,952
1314,134
1314,976
1316,134
1316,952
1317,134
1317,976
1318,134
1318,952
1321,134
1321,952
1324,134
1324,952
1325,134
1325,952
1328,134
1328,952
1329,134
1329,952
1330,134
1330,952
1332,134
1332,952
1333,134
1333,952
1335,134
1335,952
1336,134
1336,952
1337,134
1337,952
1339,134
1339,952
1341,134
1341,952
1343,134
1343,952
1345,134
1345,952
1347,134
1347,952
1349,134
1349,952
1352,134
1352,952
1355,134
1355,952
1358,134
1358,952
1361,134
1361,952
1363,134
1363,952
1365,134
1365,952
1366,134
1366,952
1367,134
1367,952
1369,134
1369,952
1371,134
1371,952
1372,134
1372,952
1375,134
1375,952
1376,134
1376,952
1380,134
1380,976
1382,134
1382,952
1384,134
1384,976
1386,134
1386,952
1387,134
1387,952
1390,134
1390,952
1391,134
1391,952
1396,134
1396,976
1398,134
1398,952
1399,134
1399,952
1402,134
1402,976
1404,134
1404,952
1406,134
1406,952
1408,134
1408,952
1410,134
1410,952
1414,134
1414,952
1415,134
1415,952
1416,134
1416,952
1419,134
1419,952
1422,134
1422,952
1424,134
1424,952
1426,134
1426,952
1428,134
1428,952
1430,134
1430,952
1432,134
1432,952
1434,134
1434,952
1436,134
1436,952
1438,134
1438,952
1441,134
1441,135
1442,134
1444,134
1444,952
1446,134
1446,952
1447,134
1447,952
1448,134
1448,952
1449,134
1449,952
1450,134
1450,952
1452,134
1452,952
1454,134
1454,952
1455,134
1455,952
1456,134
1456,952
1457,134
1457,952
1458,1179
1461,1179
1464,134
1465,134
1466,134
1468,134
1470,1189
1474,134
1476,134
1476,952
1477,134
1477,952
1478,134
1478,952
1481,134
1484,134
1485,134
1485,952
1486,134
1486,952
1488,134
1490,134
1491,134
1492,134
1493,134
1496,134
1496,952
1497,134
1497,952
1498,134
1501,134
1504,134
1505,134
1506,134
1508,134
1510,134
1512,134
1514,134
1516,134
1518,134
1521,134
1524,134
1527,134
1530,134
1530,952
1532,134
1532,952
1534,134
1536,134
1538,1179
1539,1179
1540,1179
1540,1541
1542,1189
1548,134
1548,952
1550,134
1552,134
1554,134
1554,952
1555,134
1555,952
1558,134
1560,134
1562,134
1562,952
1572,134
1574,134
1576,134
1577,134
1577,952
1578,134
1579,134
1579,952
1581,134
1583,134
1585,134
1586,134
1586,952
1587,134
1587,952
1588,134
1588,952
1591,134
1594,134
1595,134
1595,952
1596,134
1597,134
1598,134
1598,952
1599,134
1600,134
1602,134
1614,134
1616,134
1618,134
1620,134
1622,1179
1625,1179
1630,134
1630,952
1631,134
1631,952
1632,134
1635,134
1638,134
1640,134
1642,134
1643,134
1644,134
1646,134
1654,134
1655,134
1656,134
1656,952
1665,134
1667,134
1669,134
1671,134
1673,134
1676,134
1679,134
1681,134
1683,134
1686,134
1689,134
1691,134
1693,1189
1701,134
1704,134
1704,135
1705,134
1707,134
1709,134
1710,134
1711,134
1712,134
1721,134
1723,134
1733,134
1735,134
1737,134
1739,134
1741,134
1742,134
1743,134
1744,134
1745,134
1747,134
1749,134
1750,134
1751,134
1753,134
1755,134
1757,134
1759,1541
1882,134
1887,134
1887,952
1890,134
1890,952
1893,134
1895,134
1900,134
1909,134
1909,952
1910,134
1910,952
1911,134
1911,952
1921,134
1921,135
1921,1189
1925,134
1925,952
1934,134
1934,952
1938,134
1938,135
1938,1189
1942,134
1942,952
1951,134
1951,952
1955,134
1955,135
1955,1189
1968,134
1968,135
1968,1189
1981,134
1981,135
1981,1189
1994,134
1994,135
1994,1189
2037,134
2039,134
2044,134
2060,134
2060,135
2060,1189
2061,134
2077,134
2125,134
2127,134
2132,134
2316,134
2318,134
2323,134
2389,134
2390,1189
2395,1189
2395,2396
2397,1189
2399,134
2404,134
2404,1189
2426,134
2426,1189
2447,134
2449,134
2454,134
2461,134
2471,1179
2478,1179
2488,1179
2495,134
2511,134
2523,2396
2535,134
2586,134
2701,134
2711,134
2772,134
2774,134
2779,134
2779,1189
2791,134
2797,134
2811,134
2811,952
2812,134
2815,134
2855,134
2855,1189
2870,134
2870,135
2873,134
2873,1189
2873,7693
2875,134
2889,134
2890,134
2901,134
2914,134
2916,134
2921,134
3019,134
3021,134
3026,134
3062,134
3081,134
3083,134
3088,134
3214,134
3249,134
3278,134
3278,135
3279,134
3279,135
3282,134
3282,952
3283,134
3283,952
3284,134
3284,952
3285,134
3285,135
3286,134
3286,952
3286,1189
3288,134
3288,952
3288,1189
3292,134
3292,952
3293,134
3293,952
3298,134
3298,135
3300,134
3300,135
3301,134
3301,952
3301,1189
3302,134
3302,135
3302,7693
3332,134
3394,134
3397,134
3402,134
3426,134
3453,134
3504,134
3504,135
3515,134
3528,134
3536,2396
3567,134
3623,134
3625,134
3630,134
3630,1189
3682,134
3684,134
3689,134
3690,2396
3694,134
3714,134
3734,134
3736,134
3741,134
3742,134
3742,952
3760,134
3761,134
3761,952
3779,134
3797,134
3798,134
3798,952
3816,134
3817,134
3817,952
3837,134
3839,134
3844,134
3952,134
3954,134
3959,134
3959,1189
4081,134
4083,134
4088,134
4185,134
4202,134
4229,134
4230,134
4230,952
4259,134
4331,134
4341,134
4346,134
4346,1189
4368,134
4368,1189
4400,134
4400,1189
4530,134
4530,135
4533,134
4535,134
4540,134
4580,134
4580,1189
4603,134
4603,1189
4608,134
4610,134
4615,134
4721,134
4723,134
4728,134
4858,134
4858,135
4860,134
4865,1179
4871,134
4886,1179
4892,134
4900,134
4905,2396
4915,134
4931,134
4932,2396
4936,134
4941,134
4961,134
4978,134
4988,134
4998,134
5029,135
5029,1189
5036,1189
5056,135
5056,1189
5063,1189
5094,135
5094,1189
5099,1189
5120,134
5122,134
5127,134
5127,1189
5173,134
5173,1189
5182,1189
5223,134
5223,135
5226,134
5228,134
5233,134
5242,134
5242,135
5252,134
5275,134
5280,134
5285,134
5294,134
5299,134
5306,134
5306,135
5306,1189
5321,134
5323,134
5328,134
5328,1189
5444,134
5459,134
5461,134
5466,134
5505,134
5529,134
5531,134
5536,134
5915,134
5915,1189
5932,134
5952,134
5956,134
5961,134
5962,134
6016,134
6016,135
6033,134
6046,134
6046,1189
6134,952
6136,952
6140,952
6346,134
6347,134
6350,134
6351,1189
6355,1189
6367,134
6368,134
6369,1189
6375,1189
6376,1189
6390,134
6391,134
6396,134
6398,134
6404,134
6405,134
6406,134
6406,952
6407,134
6407,952
6411,134
6412,134
6412,1189
6414,134
6418,134
6418,952
6420,1179
6421,1179
6422,134
6434,134
6443,134
6461,134
6464,134
6468,134
6469,134
6470,1179
6471,1179
6497,134
6498,134
6498,952
6499,134
6499,952
6503,134
6504,134
6504,976
6505,134
6505,952
6508,134
6508,952
6510,134
6510,976
6512,134
6512,952
6513,134
6513,952
6514,134
6514,976
6515,134
6515,952
6516,134
6516,952
6517,134
6517,976
6518,134
6518,976
6519,134
6519,952
6520,134
6520,952
6522,134
6522,952
6523,134
6523,952
6525,134
6525,952
6527,134
6527,976
6529,134
6529,952
6533,134
6533,952
6534,134
6534,952
6535,134
6535,952
6537,134
6537,952
6539,134
6539,952
6541,134
6541,952
6543,134
6543,976
6545,134
6545,952
6547,134
6547,952
6548,134
6548,952
6549,134
6549,952
6551,134
6551,952
6552,134
6552,952
6553,134
6554,134
6555,134
6557,134
6559,134
6561,134
6563,134
6565,134
6567,134
6569,134
6570,134
6572,134
6573,134
6573,952
6574,134
6574,952
6575,1179
6576,134
6576,976
6577,134
6577,952
6580,134
6580,952
6581,134
6581,952
6583,134
6583,952
6584,134
6584,952
6586,134
6586,952
6588,134
6588,952
6590,134
6590,952
6593,134
6593,952
6596,134
6596,952
6598,134
6598,952
6599,134
6599,952
6601,134
6601,952
6602,134
6602,952
6604,134
