"ID of id1","ID of id2"
132,137
132,138
157,138
157,3293
157,7903
157,8541
157,12174
255,137
255,138
284,7406
284,8536
374,3293
374,7903
374,11113
396,138
396,3293
396,9059
458,19029
770,137
770,138
906,137
906,138
906,957
906,1586
925,137
925,138
925,953
925,957
934,953
935,1476
938,942
939,26198
1090,137
1090,138
1095,137
1095,138
1105,137
1105,138
1159,137
1159,138
1201,137
1201,138
1440,137
1440,138
1703,137
1703,138
2797,2811
2808,2811
2889,138
3278,138
3278,3282
3278,3283
3278,3284
3278,3286
3278,3293
3279,138
3279,3282
3279,3283
3279,3284
3279,3286
3279,3293
3285,138
3285,3282
3285,3283
3285,3284
3285,3286
3285,3293
3298,138
3298,3282
3298,3283
3298,3284
3298,3286
3298,3293
3300,138
3300,3282
3300,3283
3300,3284
3300,3293
3300,3301
3394,138
5028,138
5055,138
5082,138
5223,137
5223,138
5242,138
5242,8541
5242,12671
6142,6134
6142,6136
6142,6140
6497,137
6497,138
6497,957
6497,1909
6498,1909
6499,1910
6798,138
6798,30961
7414,7417
7419,21556
7423,137
7423,138
7440,7406
7440,8773
7475,137
7475,138
7533,138
7533,7536
7566,137
7566,138
7615,138
7615,19785
7617,138
7667,7685
7669,7685
7721,7406
7721,7417
7755,7406
7866,138
7866,3293
7866,7870
7867,138
7867,3293
7867,11029
7875,138
7875,3293
7875,7876
7880,138
7880,3293
7880,7881
7883,138
7883,3282
7883,3283
7883,3284
7883,3286
7883,3293
7897,7903
7899,7903
7908,7903
7912,138
7912,3282
7912,3283
7912,3284
7912,3286
7912,3293
7914,138
7914,3282
7914,3283
7914,3284
7914,3286
7914,3293
7945,137
7945,138
7973,7830
7973,8019
8014,138
8152,8019
8152,8128
8298,3293
8317,137
8317,138
8365,8467
8369,137
8369,138
8471,15927
8652,7406
8652,7417
8652,8536
8800,8536
8800,8541
8800,8773
8800,20430
8815,138
8878,8536
8878,8541
8993,138
8993,8541
8993,12514
9065,7903
9112,138
9112,3282
9112,3283
9112,3284
9112,3286
9112,3293
9131,138
9131,3293
9131,9134
9382,7903
9451,138
9451,3282
9451,3283
9451,3284
9451,3286
9451,3293
9469,137
9469,138
9472,137
9472,138
9476,137
9476,138
9496,137
9496,138
9505,138
9505,3282
9505,3283
9505,3284
9505,3286
9505,3293
9512,137
9512,138
9519,137
9519,138
9523,138
9523,3282
9523,3283
9523,3284
9523,3286
9523,3293
9528,138
9528,3282
9528,3283
9528,3284
9528,3286
9528,3293
9533,137
9533,138
9537,138
9537,3282
9537,3283
9537,3284
9537,3286
9537,3293
9544,138
9544,3282
9544,3283
9544,3284
9544,3286
9544,3293
9549,138
9549,3282
9549,3283
9549,3284
9549,3286
9549,3293
9551,138
9551,3282
9551,3283
9551,3284
9551,3286
9551,3293
9558,137
9558,138
9567,3282
9567,15927
9615,137
9615,138
9618,137
9618,138
9623,137
9623,138
9628,137
9628,138
9634,3284
9635,137
9635,138
9640,137
9640,138
9700,137
9700,138
9706,3284
9712,138
9712,3282
9712,3283
9712,3284
9712,3286
9712,3293
9715,137
9715,138
9721,137
9721,138
9726,137
9726,138
9730,3284
9792,138
9792,9802
9794,138
9794,31999
9798,1934
9799,26370
9807,138
9807,9810
9808,9809
9837,137
9837,138
9938,20239
10040,10045
10041,31532
10044,10045
10066,137
10066,138
10069,137
10069,138
10082,137
10082,138
10483,1934
10487,10489
10488,10489
10557,10056
10558,31506
10562,10512
10567,10356
10605,137
10605,138
10608,137
10608,138
10612,137
10612,138
10615,137
10615,138
10628,137
10628,138
10724,12969
10826,137
10826,138
10847,3293
10847,7903
10847,10851
10850,138
10932,138
10932,3282
10932,3283
10932,3284
10932,3286
10932,3293
10946,7903
10967,137
10967,138
10979,7903
10982,7903
10986,7903
10991,7903
11013,138
11013,3293
11013,11014
11023,138
11023,3293
11023,11024
11026,7903
11283,138
11283,3282
11283,3283
11283,3284
11283,3286
11283,3293
11311,3293
11311,7903
11311,11314
11484,138
11484,3282
11484,3283
11484,3284
11484,3286
11484,3293
11502,138
11502,3282
11502,3283
11502,3284
11502,3286
11502,3293
11580,18100
11762,137
11762,138
11766,138
11766,3282
11766,3283
11766,3284
11766,3286
11766,3293
11771,138
11771,3282
11771,3283
11771,3284
11771,3286
11771,3293
11776,137
11776,138
11780,138
11780,3282
11780,3283
11780,3284
11780,3286
11780,3293
11787,138
11787,3282
11787,3283
11787,3284
11787,3286
11787,3293
11897,138
11942,138
11942,22368
11951,11954
11956,138
11964,138
11964,3293
11964,17074
11975,137
11975,138
12013,138
12013,3293
12013,12014
12020,7903
12024,138
12024,3282
12024,3283
12024,3284
12024,3286
12024,3293
12041,137
12041,138
12049,138
12049,3293
12049,12050
12056,7903
12060,138
12060,3282
12060,3283
12060,3284
12060,3286
12060,3293
12077,137
12077,138
12162,137
12162,138
12163,137
12163,138
12166,12107
12167,26514
12170,12108
12300,137
12300,138
12785,138
12785,3293
12785,12786
12792,7903
12796,138
12796,3282
12796,3283
12796,3284
12796,3286
12796,3293
12816,137
12816,138
13023,138
13023,3293
13023,13024
13030,7903
13034,138
13034,3282
13034,3283
13034,3284
13034,3286
13034,3293
13051,137
13051,138
13095,137
13095,138
13120,138
13120,23048
13120,23049
13310,137
13310,138
13371,137
13371,138
13437,138
13437,3282
13437,3283
13437,3284
13437,3286
13437,3293
13471,138
13471,3293
13471,13472
13478,7903
13482,138
13482,3282
13482,3283
13482,3284
13482,3286
13482,3293
13513,138
13513,3293
13513,13514
13520,7903
13524,138
13524,3282
13524,3283
13524,3284
13524,3286
13524,3293
13541,137
13541,138
13600,138
13600,3293
13600,13601
13607,7903
13611,138
13611,3282
13611,3283
13611,3284
13611,3286
13611,3293
13634,137
13634,138
13668,137
13668,138
13695,137
13695,138
13700,137
13700,138
13703,137
13703,138
13738,137
13738,138
13777,13782
13830,138
13830,3293
13830,13831
13837,7903
13841,138
13841,3282
13841,3283
13841,3284
13841,3286
13841,3293
13855,13782
13866,137
13866,138
14097,137
14097,138
14104,13782
14109,13782
14120,137
14120,138
14127,3293
14348,137
14348,138
14353,137
14353,138
14358,137
14358,138
14365,137
14365,138
14816,138
14816,3282
14816,3283
14816,3284
14816,3286
14816,3293
14825,138
14825,3282
14825,3283
14825,3284
14825,3286
14825,3293
14932,138
14932,3282
14932,3283
14932,3284
14932,3286
14932,3293
14934,138
14934,3282
14934,3283
14934,3284
14934,3286
14934,3293
14935,138
14935,3282
14935,3283
14935,3284
14935,3286
14935,3293
14936,138
14936,3282
14936,3283
14936,3284
14936,3286
14936,3293
14937,137
14937,15927
14949,138
14949,3282
14949,3283
14949,3284
14949,3286
14949,3293
14950,138
14950,3282
14950,3283
14950,3284
14950,3286
14950,3293
14951,138
14951,3282
14951,3283
14951,3284
14951,3286
14951,3293
15363,138
15363,3293
15363,15364
15370,7903
15374,138
15374,3282
15374,3283
15374,3284
15374,3286
15374,3293
15397,137
15397,138
15442,138
15442,3293
15442,15443
15449,7903
15453,138
15453,3282
15453,3283
15453,3284
15453,3286
15453,3293
15470,137
15470,138
15568,137
15568,138
15915,138
15915,3282
15915,3283
15915,3284
15915,3286
15915,3293
16200,138
16200,3293
16200,16201
16207,7903
16211,138
16211,3282
16211,3283
16211,3284
16211,3286
16211,3293
16237,137
16237,138
16247,137
16247,138
16258,138
16258,3293
16258,16259
16265,7903
16269,138
16269,3282
16269,3283
16269,3284
16269,3286
16269,3293
16286,137
16286,138
16306,137
16306,138
16406,138
16406,3282
16406,3283
16406,3284
16406,3286
16406,3293
16514,138
16514,3282
16514,3283
16514,3284
16514,3286
16514,3293
16547,138
16547,3293
16547,16548
16554,7903
16558,138
16558,3282
16558,3283
16558,3284
16558,3286
16558,3293
16580,137
16580,138
16795,138
16795,16798
16796,16797
17035,138
17035,3282
17035,3283
17035,3284
17035,3286
17035,3293
17042,138
17042,3282
17042,3283
17042,3284
17042,3286
17042,3293
17052,138
17052,3282
17052,3283
17052,3284
17052,3286
17052,3293
17281,137
17281,138
17288,137
17288,138
17298,137
17298,138
17317,137
17317,138
17348,137
17348,138
17369,138
17369,3293
17369,17370
17376,7903
17380,138
17380,3282
17380,3283
17380,3284
17380,3286
17380,3293
17400,137
17400,138
17441,138
17441,3293
17441,17442
17448,7903
17452,138
17452,3282
17452,3283
17452,3284
17452,3286
17452,3293
17473,137
17473,138
17488,7903
17778,18087
17786,18018
17807,18003
17826,17914
17846,18069
17878,138
17878,3293
17878,17879
17885,7903
17889,138
17889,3282
17889,3283
17889,3284
17889,3286
17889,3293
17906,137
17906,138
17929,138
17929,3293
17929,17930
17936,7903
17940,138
17940,3282
17940,3283
17940,3284
17940,3286
17940,3293
17957,137
17957,138
17967,138
17967,3293
17967,17968
17974,7903
17978,138
17978,3282
17978,3283
17978,3284
17978,3286
17978,3293
17995,137
17995,138
18031,138
18031,3293
18031,18032
18038,7903
18042,138
18042,3282
18042,3283
18042,3284
18042,3286
18042,3293
18059,137
18059,138
18174,137
18174,138
18179,137
18179,138
18254,2811
18375,3284
18395,137
18395,138
18399,138
18399,3282
18399,3283
18399,3284
18399,3286
18399,3293
18404,138
18404,3282
18404,3283
18404,3284
18404,3286
18404,3293
18409,137
18409,138
18413,138
18413,3282
18413,3283
18413,3284
18413,3286
18413,3293
18420,138
18420,3282
18420,3283
18420,3284
18420,3286
18420,3293
