"ID of id","nodeName","signature","ID of typeid","ID of parentid","ID of sourceid"
81,"test","test()",71,69,81
89,"equals","equals(int,int)",88,69,89
123,"test","test()",71,116,123
136,"clone","clone()",132,132,136
167,"toString","toString()",157,79,167
180,"hashCode","hashCode()",87,79,180
193,"toString","toString(int[])",157,113,193
208,"hashCode","hashCode(int[])",87,113,208
232,"test","test()",71,225,232
257,"clone","clone()",255,255,257
286,"println","println(java.lang.String)",71,284,286
327,"toString","toString(boolean[])",157,113,327
355,"test","test()",71,348,355
468,"test","test()",71,461,468
551,"valueOf","valueOf(double)",458,458,551
597,"compare","compare(int)",71,590,597
772,"clone","clone()",770,770,772
773,"main","main(java.lang.String[])",71,763,773
834,"println","println(boolean)",71,284,834
847,"println","println(int)",71,284,847
916,"test","test()",71,909,916
973,"spliterator","spliterator()",975,948,973
977,"spliterator","spliterator()",978,946,973
989,"forEach","forEach(java.util.function.Consumer)",71,948,989
995,"forEach","forEach(java.util.function.Consumer)",71,946,989
1001,"iterator","iterator()",1002,948,1001
1003,"iterator","iterator()",1004,946,1001
1016,"parallelStream","parallelStream()",1018,943,1016
1020,"parallelStream","parallelStream()",1021,942,1016
1023,"stream","stream()",1018,943,1023
1024,"stream","stream()",1021,942,1023
1025,"spliterator","spliterator()",1026,943,1025
1027,"spliterator","spliterator()",978,942,1025
1028,"hashCode","hashCode()",87,943,1028
1029,"hashCode","hashCode()",87,942,1028
1030,"equals","equals(java.lang.Object)",88,943,1030
1032,"equals","equals(java.lang.Object)",88,942,1030
1034,"clear","clear()",71,943,1034
1035,"clear","clear()",71,942,1034
1040,"retainAll","retainAll(java.util.Collection)",88,943,1040
1042,"retainAll","retainAll(java.util.Collection)",88,942,1040
1051,"removeIf","removeIf(java.util.function.Predicate)",88,943,1051
1055,"removeIf","removeIf(java.util.function.Predicate)",88,942,1051
1057,"removeAll","removeAll(java.util.Collection)",88,943,1057
1059,"removeAll","removeAll(java.util.Collection)",88,942,1057
1065,"addAll","addAll(java.util.Collection)",88,943,1065
1071,"addAll","addAll(java.util.Collection)",88,942,1065
1073,"containsAll","containsAll(java.util.Collection)",88,943,1073
1075,"containsAll","containsAll(java.util.Collection)",88,942,1073
1077,"remove","remove(java.lang.Object)",88,943,1077
1079,"remove","remove(java.lang.Object)",88,942,1077
1081,"add","add(java.lang.Object)",88,943,1081
1083,"add","add(java.lang.Integer)",88,942,1081
1092,"clone","clone()",1090,1090,1092
1093,"toArray","toArray(java.util.function.IntFunction)",1095,943,1093
1097,"clone","clone()",1095,1095,1097
1101,"toArray","toArray(java.util.function.IntFunction)",1095,942,1093
1103,"toArray","toArray(java.lang.Object[])",1105,943,1103
1107,"clone","clone()",1105,1105,1107
1109,"toArray","toArray(java.lang.Object[])",1105,942,1103
1111,"toArray","toArray()",1090,943,1111
1112,"toArray","toArray()",1090,942,1111
1113,"iterator","iterator()",1114,943,1113
1115,"iterator","iterator()",1004,942,1113
1116,"contains","contains(java.lang.Object)",88,943,1116
1118,"contains","contains(java.lang.Object)",88,942,1116
1120,"isEmpty","isEmpty()",88,943,1120
1121,"isEmpty","isEmpty()",88,942,1120
1122,"size","size()",87,943,1122
1123,"size","size()",87,942,1122
1124,"toString","toString()",157,939,1124
1125,"toString","toString()",157,938,1124
1126,"clear","clear()",71,939,1126
1127,"clear","clear()",71,938,1126
1128,"retainAll","retainAll(java.util.Collection)",88,939,1128
1130,"retainAll","retainAll(java.util.Collection)",88,938,1128
1132,"removeAll","removeAll(java.util.Collection)",88,939,1132
1134,"removeAll","removeAll(java.util.Collection)",88,938,1132
1141,"addAll","addAll(java.util.Collection)",88,939,1141
1143,"addAll","addAll(java.util.Collection)",88,938,1141
1145,"containsAll","containsAll(java.util.Collection)",88,939,1145
1147,"containsAll","containsAll(java.util.Collection)",88,938,1145
1149,"remove","remove(java.lang.Object)",88,939,1149
1151,"remove","remove(java.lang.Object)",88,938,1149
1153,"add","add(java.lang.Object)",88,939,1153
1155,"add","add(java.lang.Integer)",88,938,1153
1157,"toArray","toArray(java.lang.Object[])",1159,939,1157
1161,"clone","clone()",1159,1159,1161
1163,"toArray","toArray(java.lang.Object[])",1159,938,1157
1165,"toArray","toArray()",1090,939,1165
1166,"toArray","toArray()",1090,938,1165
1167,"contains","contains(java.lang.Object)",88,939,1167
1169,"contains","contains(java.lang.Object)",88,938,1167
1171,"isEmpty","isEmpty()",88,939,1171
1172,"isEmpty","isEmpty()",88,938,1171
1173,"size","size()",87,939,1173
1174,"size","size()",87,938,1173
1175,"iterator","iterator()",1176,939,1175
1177,"iterator","iterator()",1004,938,1175
1184,"copyOf","copyOf(java.util.Collection)",1186,954,1184
1195,"of","of(java.lang.Object[])",1197,954,1195
1203,"clone","clone()",1201,1201,1203
1204,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1206,954,1204
1219,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1221,954,1219
1233,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1235,954,1233
1246,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1248,954,1246
1258,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1260,954,1258
1269,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1271,954,1269
1279,"of","of(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)",1281,954,1279
1288,"of","of(java.lang.Object,java.lang.Object,java.lang.Object)",1290,954,1288
1296,"of","of(java.lang.Object,java.lang.Object)",1298,954,1296
