"name","value","ID of parent"
"1","1",148
"1","1",794
"1","1",804
"1","1",820
"1","1",902
"1","1",1790
"1","1",2075
"1","1",2105
"1","1",2361
"1","1",3556
"1","1",4293
"1","1",4315
"1","1",4405
"1","1",4430
"1","1",4440
"1","1",4475
"1","1",4518
"1","1",4589
"1","1",4685
"1","1",5564
"1","1",5699
"1","1",5703
"1","1",5744
"1","1",5768
"1","1",5780
"1","1",5867
"1","1",5976
"1","1",6197
"1","1",7090
"1","1",7224
"2","2",150
"2","2",420
"2","2",426
"2","2",1796
"2","2",2371
"2","2",4019
"2","2",4697
"2","2",5863
"2","2",6207
"2","2",7001
"3","3",152
"3","3",250
"3","3",1802
"3","3",1832
"3","3",2377
"3","3",4003
"3","3",4035
"3","3",4633
"3","3",4645
"3","3",4683
"3","3",5554
"4","4",267
"4","4",1824
"4","4",2383
"0","0",369
"0","0",731
"0","0",1852
"0","0",1876
"0","0",2097
"0","0",2284
"0","0",2434
"0","0",3112
"0","0",3160
"0","0",3172
"0","0",3424
"0","0",3439
"0","0",3468
"0","0",3478
"0","0",3868
"0","0",3928
"0","0",3981
"0","0",3993
"0","0",4015
"0","0",4390
"0","0",4394
"0","0",4426
"0","0",4463
"0","0",4506
"0","0",4842
"0","0",4969
"0","0",5276
"0","0",5445
"0","0",5568
"0","0",5695
"0","0",5728
"0","0",5756
"0","0",5859
"0","0",5869
"0","0",6223
"0","0",6254
"0","0",6280
"0","0",6296
"0","0",6830
"0","0",7052
"0","0",7064
"0","0",7259
"0","0",7290
"0","0",7362
"0","0",7365
"0","0",30969
"0","0",30971
"0","0",30973
"false","false",391
"false","false",615
"false","false",679
"false","false",2150
"false","false",2248
"false","false",2367
"false","false",2379
"false","false",3136
"false","false",3307
"false","false",3366
"false","false",3544
"false","false",3858
"false","false",3904
"false","false",4661
"false","false",4746
"false","false",4796
"false","false",4913
"false","false",4955
"false","false",5006
"false","false",7300
"false","false",7624
"false","false",8031
"false","false",8159
"false","false",9186
"false","false",9237
"false","false",9242
"false","false",9756
"false","false",9845
"false","false",9979
"false","false",11796
"false","false",12410
"false","false",12483
"false","false",12491
"false","false",12959
"false","false",12986
"false","false",13002
"false","false",13094
"false","false",13174
"false","false",13179
"false","false",13217
"false","false",13221
"false","false",13824
"false","false",13879
"false","false",13907
"false","false",14085
"false","false",14096
"false","false",14152
"false","false",14437
"false","false",14467
"false","false",14541
"false","false",14575
"false","false",14596
"false","false",14616
"false","false",14636
"false","false",14656
"false","false",14676
"false","false",14696
"false","false",14716
"false","false",14736
"false","false",14754
"false","false",16625
"false","false",16816
"false","false",16823
"false","false",16830
"false","false",16837
"false","false",16844
"false","false",16851
"false","false",16856
"false","false",18286
"false","false",18424
"false","false",18431
"false","false",19077
"false","false",19136
"false","false",19147
"false","false",19232
"false","false",19236
"false","false",19240
"false","false",19244
"false","false",19248
"false","false",19252
"false","false",19256
"false","false",19260
"false","false",19990
