"ID of id","ID of typeid","pos","ID of parentid","ID of sourceid"
95,87,0,89,95
99,87,1,89,99
603,87,0,597,603
779,770,0,773,779
990,981,0,989,990
996,993,0,995,990
1031,79,0,1030,1031
1033,79,0,1032,1031
1041,1038,0,1040,1041
1043,1038,0,1042,1041
1052,1046,0,1051,1052
1056,1053,0,1055,1052
1058,1038,0,1057,1058
1060,1038,0,1059,1058
1066,1063,0,1065,1066
1072,1069,0,1071,1066
1074,1038,0,1073,1074
1076,1038,0,1075,1074
1078,79,0,1077,1078
1080,79,0,1079,1078
1082,1017,0,1081,1082
1084,374,0,1083,1082
1098,1099,0,1093,1098
1102,1099,0,1101,1098
1108,1105,0,1103,1108
1110,1105,0,1109,1108
1117,79,0,1116,1117
1119,79,0,1118,1117
1129,1038,0,1128,1129
1131,1038,0,1130,1129
1133,1038,0,1132,1133
1135,1038,0,1134,1133
1142,1139,0,1141,1142
1144,1069,0,1143,1142
1146,1038,0,1145,1146
1148,1038,0,1147,1146
1150,79,0,1149,1150
1152,79,0,1151,1150
1154,1136,0,1153,1154
1156,374,0,1155,1154
1162,1159,0,1157,1162
1164,1159,0,1163,1162
1168,79,0,1167,1168
1170,79,0,1169,1168
1190,1193,0,1184,1190
1200,1201,0,1195,1200
1209,1205,0,1204,1209
1210,1205,1,1204,1210
1211,1205,2,1204,1211
1212,1205,3,1204,1212
1213,1205,4,1204,1213
1214,1205,5,1204,1214
1215,1205,6,1204,1215
1216,1205,7,1204,1216
1217,1205,8,1204,1217
1218,1205,9,1204,1218
1224,1220,0,1219,1224
1225,1220,1,1219,1225
1226,1220,2,1219,1226
1227,1220,3,1219,1227
1228,1220,4,1219,1228
1229,1220,5,1219,1229
1230,1220,6,1219,1230
1231,1220,7,1219,1231
1232,1220,8,1219,1232
1238,1234,0,1233,1238
1239,1234,1,1233,1239
1240,1234,2,1233,1240
1241,1234,3,1233,1241
1242,1234,4,1233,1242
1243,1234,5,1233,1243
1244,1234,6,1233,1244
1245,1234,7,1233,1245
1251,1247,0,1246,1251
1252,1247,1,1246,1252
1253,1247,2,1246,1253
1254,1247,3,1246,1254
1255,1247,4,1246,1255
1256,1247,5,1246,1256
1257,1247,6,1246,1257
1263,1259,0,1258,1263
1264,1259,1,1258,1264
1265,1259,2,1258,1265
1266,1259,3,1258,1266
1267,1259,4,1258,1267
1268,1259,5,1258,1268
1274,1270,0,1269,1274
1275,1270,1,1269,1275
1276,1270,2,1269,1276
1277,1270,3,1269,1277
1278,1270,4,1269,1278
1284,1280,0,1279,1284
1285,1280,1,1279,1285
1286,1280,2,1279,1286
1287,1280,3,1279,1287
1293,1289,0,1288,1293
1294,1289,1,1288,1294
1295,1289,2,1288,1295
1301,1297,0,1296,1301
1302,1297,1,1296,1302
1308,1304,0,1303,1308
1319,87,0,1318,1319
