"ID of id","ID of statement_id"
105,103
107,103
109,103
131,125
140,129
144,129
146,129
148,129
150,129
152,129
156,125
159,154
163,154
165,154
170,125
172,168
176,168
178,168
183,125
185,181
189,181
191,181
194,181
198,125
200,196
204,196
206,196
209,196
211,129
240,234
242,238
246,238
248,238
250,238
254,234
259,252
263,252
265,252
267,252
277,238
279,252
281,269
283,269
287,269
289,269
293,269
295,271
297,271
299,271
301,271
303,271
305,273
307,273
309,273
311,273
313,273
315,273
317,275
319,275
321,275
323,275
325,275
328,275
363,357
365,361
369,361
373,357
376,371
380,371
385,357
387,383
391,383
395,357
398,393
402,393
416,404
418,404
420,404
422,406
424,406
426,406
428,408
430,408
432,408
434,410
436,410
438,410
440,412
442,412
444,412
446,412
448,412
450,414
452,414
454,414
476,470
479,474
483,474
487,470
490,485
494,485
498,470
500,496
504,496
506,496
508,496
513,470
515,511
519,511
521,511
523,511
527,470
529,525
533,525
535,525
537,525
541,470
543,539
547,539
549,539
552,539
556,470
558,554
562,554
564,554
566,554
609,599
611,607
615,607
619,599
621,617
625,617
641,627
645,627
647,627
651,649
653,649
655,649
657,649
659,629
665,663
667,663
669,663
671,663
673,631
677,631
679,631
683,681
685,681
687,681
689,681
691,633
695,633
699,697
701,697
703,697
705,697
707,635
711,635
713,635
717,715
719,715
721,715
723,715
725,637
729,637
731,637
735,733
737,733
739,733
741,733
743,639
747,639
749,639
753,751
755,751
757,751
759,751
787,775
790,785
794,785
798,775
800,796
804,796
812,775
814,810
818,810
820,810
830,806
832,806
835,806
837,806
839,806
841,806
843,808
845,808
848,808
850,808
852,808
854,808
856,822
858,822
860,822
862,822
864,822
866,822
868,824
870,824
872,824
874,824
876,824
878,824
880,826
882,826
884,826
886,826
888,826
890,826
892,828
894,828
896,828
898,828
900,828
902,828
924,918
959,922
963,922
965,922
1762,1760
1766,1760
1784,922
1786,1768
1788,1768
1790,1768
1792,1770
1794,1770
1796,1770
1798,1772
1800,1772
1802,1772
1804,1774
1808,1774
1812,1810
1814,1810
1816,1810
1818,1810
1820,1776
1822,1776
