"ID of id","kind","ID of parent","idx","ID of bodydecl"
75,0,74,0,74
77,20,75,0,74
83,0,81,0,81
91,0,89,0,89
103,9,91,0,89
119,0,118,0,118
121,20,119,0,118
125,0,123,0,123
129,17,125,0,123
154,17,125,1,123
168,17,125,2,123
181,17,125,3,123
196,17,125,4,123
228,0,227,0,227
230,20,228,0,227
234,0,232,0,232
238,17,234,0,232
252,17,234,1,232
269,14,234,2,232
271,14,234,3,232
273,14,234,4,232
275,14,234,5,232
351,0,350,0,350
353,20,351,0,350
357,0,355,0,355
361,17,357,0,355
371,17,357,1,355
383,17,357,2,355
393,17,357,3,355
404,14,357,4,355
406,14,357,5,355
408,14,357,6,355
410,14,357,7,355
412,14,357,8,355
414,14,357,9,355
464,0,463,0,463
466,20,464,0,463
470,0,468,0,468
474,17,470,0,468
485,17,470,1,468
496,17,470,2,468
511,17,470,3,468
525,17,470,4,468
539,17,470,5,468
554,17,470,6,468
593,0,592,0,592
595,20,593,0,592
599,0,597,0,597
607,17,599,0,597
617,17,599,1,597
627,1,599,2,597
629,1,599,3,597
631,1,599,4,597
633,1,599,5,597
635,1,599,6,597
637,1,599,7,597
639,1,599,8,597
643,0,627,1,597
649,14,643,0,597
661,0,629,1,597
663,14,661,0,597
675,0,631,1,597
681,14,675,0,597
693,0,633,1,597
697,14,693,0,597
709,0,635,1,597
715,14,709,0,597
727,0,637,1,597
733,14,727,0,597
745,0,639,1,597
751,14,745,0,597
766,0,765,0,765
768,20,766,0,765
775,0,773,0,773
785,17,775,0,773
796,17,775,1,773
806,14,775,2,773
808,14,775,3,773
810,17,775,4,773
822,14,775,5,773
824,14,775,6,773
826,14,775,7,773
828,14,775,8,773
912,0,911,0,911
914,20,912,0,911
918,0,916,0,916
922,17,918,0,916
1760,17,918,1,916
1768,14,918,2,916
1770,14,918,3,916
1772,14,918,4,916
1774,1,918,5,916
1776,14,918,6,916
1778,1,918,7,916
1780,1,918,8,916
1782,14,918,9,916
1806,0,1774,1,916
1810,14,1806,0,916
1828,0,1778,1,916
1836,14,1828,0,916
1848,0,1780,1,916
1856,14,1848,0,916
1896,0,1895,0,1895
1898,20,1896,0,1895
1902,0,1900,0,1900
1906,17,1902,0,1900
1922,17,1902,1,1900
1939,17,1902,2,1900
1956,17,1902,3,1900
1969,17,1902,4,1900
1982,17,1902,5,1900
2040,0,2039,0,2039
2042,20,2040,0,2039
2046,0,2044,0,2044
2054,9,2046,0,2044
2063,0,2061,0,2061
2071,9,2063,0,2061
2079,0,2077,0,2077
2087,1,2079,0,2077
2091,9,2087,1,2077
2093,9,2087,2,2077
2128,0,2127,0,2127
2130,20,2128,0,2127
2134,0,2132,0,2132
2142,17,2134,0,2132
2152,17,2134,1,2132
2162,1,2134,2,2132
2164,1,2134,3,2132
2166,1,2134,4,2132
2168,1,2134,5,2132
2170,1,2134,6,2132
2172,1,2134,7,2132
2174,1,2134,8,2132
2178,0,2162,1,2132
2188,14,2178,0,2132
2200,0,2164,1,2132
2210,14,2200,0,2132
2222,0,2166,1,2132
2232,14,2222,0,2132
2244,0,2168,1,2132
2250,14,2244,0,2132
2262,0,2170,1,2132
2268,14,2262,0,2132
2280,0,2172,1,2132
2286,14,2280,0,2132
2298,0,2174,1,2132
2304,14,2298,0,2132
2319,0,2318,0,2318
2321,20,2319,0,2318
2325,0,2323,0,2323
2329,17,2325,0,2323
2345,1,2325,1,2323
2347,1,2325,2,2323
2349,1,2325,3,2323
2351,1,2325,4,2323
2353,9,2325,5,2323
2357,9,2345,1,2323
2365,9,2347,1,2323
2375,9,2349,1,2323
2381,9,2351,1,2323
2400,0,2399,0,2399
2402,20,2400,0,2399
2406,0,2404,0,2404
2417,0,2397,0,2397
2422,0,2395,0,2395
2428,0,2426,0,2426
2432,9,2428,0,2426
2437,0,2390,0,2390
2441,9,2437,0,2390
2450,0,2449,0,2449
2452,20,2450,0,2449
2457,0,2454,0,2454
2463,0,2461,0,2461
2474,0,2471,0,2471
2480,0,2478,0,2478
2524,0,2523,0,2523
2525,14,2524,0,2523
2536,0,2535,0,2535
2538,20,2536,0,2535
2540,14,2536,1,2535
2589,0,2586,0,2586
2597,14,2589,0,2586
2599,14,2589,1,2586
2601,14,2589,2,2586
2603,14,2589,3,2586
2605,14,2589,4,2586
2607,14,2589,5,2586
2609,14,2589,6,2586
2712,0,2711,0,2711
2714,20,2712,0,2711
2775,0,2774,0,2774
2777,20,2775,0,2774
2781,0,2779,0,2779
2794,17,2781,0,2779
2819,0,2813,0,2813
2821,20,2819,0,2813
2824,0,2812,0,2812
2828,6,2824,0,2812
2830,0,2828,-1,2812
2832,22,2828,0,2812
2834,14,2830,0,2812
2836,14,2830,1,2812
2838,14,2830,2,2812
2840,14,2830,3,2812
2881,0,2832,1,2812
2883,14,2881,0,2812
2891,14,2781,1,2779
2893,14,2781,2,2779
2895,14,2781,3,2779
2917,0,2916,0,2916
2919,20,2917,0,2916
2923,0,2921,0,2921
2927,17,2923,0,2921
2937,17,2923,1,2921
2947,17,2923,2,2921
2955,14,2923,3,2921
2957,14,2923,4,2921
2959,14,2923,5,2921
