"ID of id","ID of typeid","pos","ID of parentid"
980,974,0,979
992,374,0,991
1037,79,0,1036
1045,1017,0,1044
1062,1017,0,1061
1068,374,0,1067
1138,1136,0,1137
1192,1185,0,1191
1374,1315,0,1373
1413,1315,0,1412
1495,1475,0,1494
1547,1545,0,1546
1629,1545,0,1628
3277,3238,0,3276
3297,79,0,3296
6417,6413,0,6416
6507,157,0,6506
6532,157,0,6531
7879,7880,0,7878
9504,9502,0,9503
9518,9502,0,9517
9526,9502,0,9525
9532,9502,0,9531
9542,9502,0,9541
9548,9546,0,9547
9711,9466,0,9710
10052,10047,0,10051
10054,10048,0,10053
10078,10073,0,10077
10080,10074,0,10079
10242,10240,0,10241
10244,10240,0,10243
10255,10026,0,10254
10257,10026,0,10256
10268,10239,0,10267
10275,10025,0,10274
10377,10239,0,10376
10382,10025,0,10381
10444,10425,0,10443
10446,10426,0,10445
10493,10491,0,10492
10496,10494,0,10495
10498,10494,0,10497
10541,10491,0,10540
10681,10679,0,10680
10690,10673,0,10689
10732,10730,0,10731
11012,11013,0,10945
11022,11023,0,11021
11032,7867,0,7892
11500,9502,0,11499
11761,9502,0,11760
11769,9502,0,11768
11775,9502,0,11774
11785,9502,0,11784
12125,11954,0,12124
12139,12136,0,12138
12141,12134,0,12140
12269,12266,0,12268
12288,8541,0,12287
13589,7903,0,13588
14815,14813,0,14814
14824,14802,0,14823
15182,14835,0,14850
15909,10014,0,15908
16399,2889,0,16398
16405,2889,0,16404
16512,15927,0,16511
17033,15927,0,17032
17305,3288,0,9458
17306,13699,0,13698
17307,13692,0,13708
18258,18255,0,18257
18291,18288,0,18290
18294,18292,0,18293
18332,18329,0,18331
18394,9502,0,18393
18402,9502,0,18401
18408,9502,0,18407
18418,9502,0,18417
18462,9502,0,18461
18470,9502,0,18469
18475,9502,0,18474
18484,9502,0,18483
18495,9502,0,18494
18513,9502,0,18512
18600,9502,0,18599
18608,9502,0,18607
18677,9502,0,18676
18685,9502,0,18684
18866,9502,0,18865
18943,9502,0,18942
18951,9502,0,18950
18957,9502,0,18956
18965,9502,0,18964
19002,9502,0,19001
19015,3282,0,19014
21236,21230,0,21235
21248,21242,0,21247
21269,21265,0,21268
21279,21272,0,21278
21298,21289,0,21297
21784,21779,0,21783
21801,21798,0,21800
21808,21806,0,21807
21897,7546,0,21896
22114,22036,0,22113
22122,21806,0,22121
22565,79,0,22564
22688,22333,0,22687
22794,22763,0,22793
24895,23285,0,23503
24923,23285,0,24574
24978,23285,0,24977
25752,22995,0,25751
25843,22995,0,25842
25934,22995,0,25933
25962,22995,0,25961
26203,1136,0,26202
26248,1475,0,26247
26372,10426,0,26371
26380,10425,0,26379
26445,26438,0,26444
26470,26438,0,26469
26522,26516,0,26521
26665,26645,0,26664
26875,26863,0,26874
26887,26879,0,26886
26993,26981,0,26992
27005,26997,0,27004
27016,27019,0,27015
27018,27015,0,27017
27034,27037,0,27033
27036,27033,0,27035
27270,27263,0,27269
27281,27274,0,27280
27383,27372,0,27382
27431,27421,0,27430
27526,27514,0,27525
27538,27530,0,27537
27644,27634,0,27643
27656,27648,0,27655
27790,27781,0,27789
27801,27794,0,27800
27820,27811,0,27819
