"ID of id","nodeName","pos","kind","ID of parentid"
974,"T",0,0,948
1017,"E",0,0,943
1094,"T",0,0,1093
1104,"T",0,0,1103
1136,"E",0,0,939
1158,"T",0,0,1157
1185,"E",0,0,1184
1196,"E",0,0,1195
1205,"E",0,0,1204
1220,"E",0,0,1219
1234,"E",0,0,1233
1247,"E",0,0,1246
1259,"E",0,0,1258
1270,"E",0,0,1269
1280,"E",0,0,1279
1289,"E",0,0,1288
1297,"E",0,0,1296
1304,"E",0,0,1303
1310,"E",0,0,1309
1315,"E",0,0,954
1439,"T",0,0,1438
1475,"E",0,0,935
1545,"E",0,0,906
1694,"E",0,0,1693
1702,"T",0,0,1701
6370,"T",0,0,6347
6413,"S",0,0,6412
7540,"T",0,0,7537
7878,"T",0,0,7877
7892,"E",0,0,7867
9458,"F",0,0,3288
9466,"T",0,0,3279
9517,"A",0,0,9516
9525,"A",0,0,9524
9531,"A",0,0,9530
9541,"A",0,0,9540
9546,"U",0,0,9545
10047,"K",0,0,10046
10048,"V",1,0,10046
10061,"K",0,0,10060
10062,"V",1,0,10060
10073,"K",0,0,10072
10074,"V",1,0,10072
10086,"K",0,0,10085
10087,"V",1,0,10085
10110,"K",0,0,10109
10111,"V",1,0,10109
10132,"K",0,0,10131
10133,"V",1,0,10131
10152,"K",0,0,10151
10153,"V",1,0,10151
10170,"K",0,0,10169
10171,"V",1,0,10169
10186,"K",0,0,10185
10187,"V",1,0,10185
10200,"K",0,0,10199
10201,"V",1,0,10199
10212,"K",0,0,10211
10213,"V",1,0,10211
10222,"K",0,0,10221
10223,"V",1,0,10221
10230,"K",0,0,10229
10231,"V",1,0,10229
10236,"K",0,0,10235
10237,"V",1,0,10235
10239,"K",0,0,1887
10240,"V",1,0,1887
10425,"K",0,0,9799
10426,"V",1,0,9799
10485,"K",0,0,10484
10486,"V",1,0,10484
10491,"K",0,0,10041
10494,"V",1,0,10041
10622,"T",0,0,10621
10634,"T",0,0,10633
10646,"T",0,0,10645
10654,"T",0,0,10653
10663,"T",0,0,10662
10672,"T",0,0,10027
10679,"T",0,0,7682
10730,"T",0,0,10036
10763,"T",0,0,10031
10773,"T",0,0,10034
10776,"T",0,0,10775
10945,"E",0,0,7894
10956,"T",0,0,7899
10981,"T",0,0,10980
10985,"T",0,0,10984
10990,"T",0,0,10989
10997,"T",0,0,10996
11021,"E",0,0,11020
11499,"T",0,0,11498
11760,"A",0,0,11759
11768,"A",0,0,11767
