"ID of expr","ID of variable"
107,95
109,99
165,142
178,142
194,142
209,142
283,292
293,244
297,292
303,261
307,292
315,244
319,292
328,261
418,367
424,378
430,389
436,400
442,389
452,400
508,481
537,492
552,481
645,613
653,292
659,613
667,292
677,613
685,292
695,613
701,292
711,623
719,292
729,623
737,292
747,623
755,292
832,292
839,792
841,802
845,292
852,792
854,802
858,292
864,816
870,292
876,816
882,292
888,792
890,816
894,292
900,802
1766,961
1788,961
1794,961
1800,961
1808,961
1814,292
1822,961
1834,961
1840,292
1854,961
1860,292
1868,292
1878,1764
1917,1921
1933,1938
1950,1955
2056,2060
2095,2083
2099,2060
2186,2148
2192,292
2208,2148
2214,292
2230,2148
2236,292
2246,2148
2254,292
2264,2158
2272,292
2282,2158
2290,292
2300,2158
2308,292
2359,2333
2369,2333
2527,2521
2613,2521
2615,2593
2619,2520
2621,2593
2625,2516
2627,2593
2631,2519
2633,2593
2637,2512
2639,2593
2643,2517
2645,2593
2649,2518
2651,2593
2844,292
2860,292
2887,2877
2899,2801
2910,2801
2967,2943
2973,2943
2975,2933
2977,2933
2981,292
2983,2943
2989,2933
2995,2943
3001,2953
3060,3038
3069,3038
3075,3050
3122,3100
3134,3100
3146,3100
3158,3110
3170,3110
3228,3189
3230,3189
3236,3220
3271,3255
3303,3255
3311,3189
3313,3189
3319,3255
3354,3338
3360,3338
3370,3189
3372,3189
3378,3338
3451,3418
3454,3433
3484,3447
3488,3433
3490,3418
3494,3447
3502,3418
3505,3433
3509,3447
3513,3466
3516,3476
3540,3534
3548,3533
3561,3529
3614,3594
3616,3594
3658,3642
3708,292
3754,292
3773,292
3791,292
3810,292
3829,292
3886,3856
3902,3856
3910,3866
3920,3866
3926,3866
4001,3991
4005,3991
4017,3991
4023,292
4025,3991
4033,3979
4043,3979
4047,292
4049,3979
4057,3965
4065,292
4067,4055
4124,4100
4126,4110
4148,4134
4162,4100
4168,4134
4212,292
4242,292
4291,4269
4313,4277
4325,4269
4362,292
4388,4376
4403,4376
4424,4412
4438,4412
4461,4338
4465,4339
4473,4338
4477,4339
4483,4338
4504,4335
4508,4336
4516,4335
4520,4336
4526,4335
4581,4552
4583,4564
4591,4564
4595,292
4604,4552
4671,4627
4695,4679
4774,4744
4784,4744
4794,4744
4806,4744
4816,4762
4828,4754
4840,4754
4852,4754
4909,4901
4959,4953
5040,5029
5067,5056
5103,5094
5171,5144
5180,5160
5199,292
5278,5246
5286,5246
5292,5259
5300,5306
5302,5246
5374,5346
5380,292
5390,5346
5392,5356
5396,292
5406,5346
5408,5356
5412,292
5422,5346
5424,5356
5428,292
5438,5356
5442,5356
5451,292
5488,5478
5566,5548
5607,5580
5609,5581
5611,5580
5613,5581
5642,292
5693,5658
5697,5658
5701,5659
5707,5683
5742,5726
5754,5655
5762,5726
5766,5655
5774,5726
5778,5656
5782,5738
5861,5830
5946,5938
5984,5974
5988,5974
6008,292
6031,292
6034,6021
6040,292
6042,5974
6098,6062
6102,6072
6106,6082
6110,292
6217,6195
6219,6174
6221,6174
6278,6262
6282,6262
6284,6231
6286,6262
6316,6294
6318,6262
6322,6294
6326,6252
6328,6294
6334,6252
6338,6262
6359,6351
6828,6812
6842,6812
6920,6904
6938,292
6940,6914
6999,6965
7007,292
7009,6995
7072,7062
7074,7040
7076,7062
7088,7062
7106,7050
7110,7062
7112,7084
7118,7050
7128,7084
7130,7040
7140,7144
7167,7159
7199,7193
7222,7192
7255,7247
10821,10822
10831,10832
10833,10834
10835,10836
10837,10838
10839,10840
10841,10842
10843,10844
10845,10846
11073,10822
11076,10846
11738,11739
11742,10838
11860,10822
11863,10832
11864,10838
12956,12957
12985,12957
13001,12957
13173,12957
13178,12957
13216,12957
13220,12957
13464,10822
13467,13468
13507,10822
13510,13468
13550,10822
13553,13468
13822,13823
13878,13823
13906,13823
14084,13823
14095,13823
14151,13823
14436,13823
14466,13823
14540,13823
14574,13823
14595,13823
14615,13823
14635,13823
14655,13823
14675,13823
14695,13823
14715,13823
14735,13823
14753,13823
16071,10822
16074,10838
16815,13823
16822,13823
16829,13823
16836,13823
16843,13823
16850,13823
16855,13823
21380,13823
34287,10822
34290,10846
34602,13545
34605,10838
34606,10832
34607,10834
34608,10840
34609,10842
34610,10846
34633,10822
34636,10838
34637,10832
37755,10822
37758,10838
38048,10822
38051,10846
38347,10822
38350,10838
38351,10832
38355,10822
38358,10838
38359,10832
38363,10822
38366,10838
38367,10832
38371,10822
38374,10838
38375,10832
38379,10822
38382,10838
38383,10832
38387,10822
38390,10834
39346,10822
39349,10838
39353,10822
39356,10838
39360,10822
39363,10838
39364,10846
39370,10822
39373,10838
