0.8, expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"'))))
0.2, 'y'
0.2, blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';')
0.2, classBody('{',classBodyDeclaration(modifier(modifier(classOrInterfaceModifier('public'))),memberDeclaration(methodDeclaration(typeTypeOrVoid('void'),identifier('test'),formalParameters('(',')'),methodBody(block('{',blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('x')),'=',variableInitializer(expression(expression(primary(literal('"a"'))),'+',expression(primary(literal(integerLiteral('3'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('y')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal('"b"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('String'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('z')),'=',variableInitializer(expression(expression(primary(literal('"c"'))),'+',expression(primary(literal('false')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n0')),'=',variableInitializer(expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"')))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1'))))))))),';'),blockStatement(localVariableDeclaration(typeType(classOrInterfaceType(identifier('var'))),variableDeclarators(variableDeclarator(variableDeclaratorId(identifier('n2')),'=',variableInitializer(expression(expression(primary(identifier('n1'))),'+',expression(primary(literal(integerLiteral('2'))))))))),';'),'}'))))),'}')
0.5, ')'
0.5, expression(expression(primary(identifier('x'))),'+',expression(primary(literal('"d"'))))
0.5, '1'
0.5, variableDeclarator(variableDeclaratorId(identifier('n1')),'=',variableInitializer(expression(expression(primary(literal(integerLiteral('3')))),'+',expression(primary(literal(integerLiteral('1')))))))
0.5, '2'
0.5, 'class'
0.5, '('
0.5, '"b"'
0.5, '"a"'
